Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,URL,WikiWordCount,external_urls,followers,genres,popularity
95,4.9511082360000005,Elvis Presley,Bossa Nova Baby,1963,1003366,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
9,23.45308318,Elvis Presley,Crying in the Chapel,1965,4109700,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
18,14.84294734,Elvis Presley,Suspicious Minds,1969,76262262,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
35,9.570069477999999,Elvis Presley,In The Ghetto,1969,43512214,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017.0,christmas|rock|rock-and-roll|rockabilly,83.0
8,25.34898699,Jimmy Jones,Handy Man,1960,564091,https://en.wikipedia.org/wiki/Jimmy_Jones_(singer),461.0,https://open.spotify.com/artist/7ydcRbgt0yM9etADb1Ackp,1585.0,bmore|brill building pop|doo-wop|merseybeat|rock-and-roll,48.0
31,10.36815025,Jimmy Jones,Good Timin',1960,616177,https://en.wikipedia.org/wiki/Jimmy_Jones_(singer),461.0,https://open.spotify.com/artist/7ydcRbgt0yM9etADb1Ackp,1585.0,bmore|brill building pop|doo-wop|merseybeat|rock-and-roll,48.0
10,21.87761624,Chubby Checker,The Twist,1960,15600003,https://en.wikipedia.org/wiki/Chubby_Checker,1911.0,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2,53283.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|merseybeat|motown|rock-and-roll|rockabilly,56.0
7,27.68441135,Chubby Checker,Pony Time,1961,395079,https://en.wikipedia.org/wiki/Chubby_Checker,1911.0,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2,53283.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|merseybeat|motown|rock-and-roll|rockabilly,56.0
70,6.056689273,Chubby Checker,The Fly,1961,80384,https://en.wikipedia.org/wiki/Chubby_Checker,1911.0,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2,53283.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|merseybeat|motown|rock-and-roll|rockabilly,56.0
94,4.985808764,Chubby Checker,Let's Twist Again,1961,13359395,https://en.wikipedia.org/wiki/Chubby_Checker,1911.0,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2,53283.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|merseybeat|motown|rock-and-roll|rockabilly,56.0
9,23.45308318,Chubby Checker,The Twist,1962,15615387,https://en.wikipedia.org/wiki/Chubby_Checker,1911.0,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2,53283.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|merseybeat|motown|rock-and-roll|rockabilly,56.0
17,15.41358678,Chubby Checker,Slow Twistin',1962,284087,https://en.wikipedia.org/wiki/Chubby_Checker,1911.0,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2,53283.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|merseybeat|motown|rock-and-roll|rockabilly,56.0
11,20.54380234,Connie Francis,Everybody's Somebody's Fool,1960,2306079,https://en.wikipedia.org/wiki/Connie_Francis,4607.0,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,58984.0,adult standards|brill building pop|bubblegum pop|cabaret|christmas|doo-wop|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly,57.0
17,15.41358678,Connie Francis,My Heart Has A Mind Of Its Own,1960,365549,https://en.wikipedia.org/wiki/Connie_Francis,4607.0,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,58984.0,adult standards|brill building pop|bubblegum pop|cabaret|christmas|doo-wop|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly,57.0
68,6.173680038,Connie Francis,Mama,1960,279627,https://en.wikipedia.org/wiki/Connie_Francis,4607.0,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,58984.0,adult standards|brill building pop|bubblegum pop|cabaret|christmas|doo-wop|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly,57.0
73,5.8912426689999995,Connie Francis,Among My Souvenirs,1960,1725415,https://en.wikipedia.org/wiki/Connie_Francis,4607.0,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,58984.0,adult standards|brill building pop|bubblegum pop|cabaret|christmas|doo-wop|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly,57.0
18,14.84294734,Connie Francis,Where The Boys Are,1961,1961350,https://en.wikipedia.org/wiki/Connie_Francis,4607.0,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,58984.0,adult standards|brill building pop|bubblegum pop|cabaret|christmas|doo-wop|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly,57.0
80,5.545754095,Connie Francis,Breakin' In A Brand New Broken Heart,1961,184122,https://en.wikipedia.org/wiki/Connie_Francis,4607.0,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,58984.0,adult standards|brill building pop|bubblegum pop|cabaret|christmas|doo-wop|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly,57.0
31,10.36815025,Connie Francis,Don't Break The Heart That Loves You,1962,259505,https://en.wikipedia.org/wiki/Connie_Francis,4607.0,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,58984.0,adult standards|brill building pop|bubblegum pop|cabaret|christmas|doo-wop|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly,57.0
12,19.39725958,Bobby Rydell,Wild One,1960,211513,https://en.wikipedia.org/wiki/Bobby_Rydell,1069.0,https://open.spotify.com/artist/4hJTgr1adnhIkhmD9jLzd6,11311.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|easy listening|lounge|merseybeat|rock-and-roll|rockabilly,44.0
54,7.188199442999999,Bobby Rydell,Volare,1960,221099,https://en.wikipedia.org/wiki/Bobby_Rydell,1069.0,https://open.spotify.com/artist/4hJTgr1adnhIkhmD9jLzd6,11311.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|easy listening|lounge|merseybeat|rock-and-roll|rockabilly,44.0
74,5.838577711,Bobby Rydell,Swingin' School,1960,73006,https://en.wikipedia.org/wiki/Bobby_Rydell,1069.0,https://open.spotify.com/artist/4hJTgr1adnhIkhmD9jLzd6,11311.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|easy listening|lounge|merseybeat|rock-and-roll|rockabilly,44.0
96,4.917008807,Bobby Rydell,Little Bitty Girl,1960,98402,https://en.wikipedia.org/wiki/Bobby_Rydell,1069.0,https://open.spotify.com/artist/4hJTgr1adnhIkhmD9jLzd6,11311.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|easy listening|lounge|merseybeat|rock-and-roll|rockabilly,44.0
87,5.247075258,Bobby Rydell,Good Time Baby,1961,58354,https://en.wikipedia.org/wiki/Bobby_Rydell,1069.0,https://open.spotify.com/artist/4hJTgr1adnhIkhmD9jLzd6,11311.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|easy listening|lounge|merseybeat|rock-and-roll|rockabilly,44.0
93,5.021127552,Bobby Rydell,I'll Never Dance Again,1962,76708,https://en.wikipedia.org/wiki/Bobby_Rydell,1069.0,https://open.spotify.com/artist/4hJTgr1adnhIkhmD9jLzd6,11311.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|easy listening|lounge|merseybeat|rock-and-roll|rockabilly,44.0
13,18.39913422,Brothers Four,Greenfields,1960,880380,https://en.wikipedia.org/wiki/The_Brothers_Four,693.0,https://open.spotify.com/artist/0nd3tsqHVtnAWBCQgwtbIz,6993.0,adult standards|brill building pop|christmas|easy listening|folk|folk christmas|folk rock|traditional folk,45.0
14,17.52086311,Jack Scott,What In The World's Come Over You,1960,192575,https://en.wikipedia.org/wiki/Jack_Scott_(singer),551.0,https://open.spotify.com/artist/4ucP0bNegd7Q4ewdOKIBfz,2761.0,adult standards|brill building pop|cowboy western|doo-wop|jump blues|rock-and-roll|rockabilly,34.0
35,9.570069477999999,Jack Scott,Burning Bridges,1960,123257,https://en.wikipedia.org/wiki/Jack_Scott_(singer),551.0,https://open.spotify.com/artist/4ucP0bNegd7Q4ewdOKIBfz,2761.0,adult standards|brill building pop|cowboy western|doo-wop|jump blues|rock-and-roll|rockabilly,34.0
15,16.74093727,Marty Robbins,El Paso,1960,8663683,https://en.wikipedia.org/wiki/Marty_Robbins,1930.0,https://open.spotify.com/artist/0Xi59sEw38vRvwleSAVqoo,73354.0,adult standards|christmas|country|country christmas|country gospel|country rock|cowboy western|nashville sound|outlaw country|rock-and-roll|rockabilly|traditional country|traditional folk|western swing,61.0
28,11.08857401,Marty Robbins,Don't Worry,1961,321791,https://en.wikipedia.org/wiki/Marty_Robbins,1930.0,https://open.spotify.com/artist/0Xi59sEw38vRvwleSAVqoo,73354.0,adult standards|christmas|country|country christmas|country gospel|country rock|cowboy western|nashville sound|outlaw country|rock-and-roll|rockabilly|traditional country|traditional folk|western swing,61.0
16,16.04282372,Hollywood Argyles,Alley Oop,1960,218008,https://en.wikipedia.org/wiki/The_Hollywood_Argyles,564.0,https://open.spotify.com/artist/6af1KGKyTV3xTilHXaOuZA,154.0,,18.0
19,14.32262507,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011,https://en.wikipedia.org/wiki/Brian_Hyland,1193.0,https://open.spotify.com/artist/6YROFUbu5zRCHi2xkir5pk,8485.0,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|folk rock|merseybeat|rock-and-roll|rockabilly,50.0
