Artist,Title,URL
Ray Charles,Here We Go Again,https://en.wikipedia.org/wiki/Here_We_Go_Again_(Ray_Charles_song)
Skip and Flip,Cherry Pie,https://en.wikipedia.org/wiki/Cherry_Pie_(Joe_Josea_song)
Lloyd Price,Lady Luck,
The Crests,Step By Step,
Paul Evans,Happy-Go-Lucky Me,https://en.wikipedia.org/wiki/Mr._Happy_Go_Lucky
Ricky Nelson,Young Emotions,https://en.wikipedia.org/wiki/Young_Emotions
Ricky Nelson,Travelin' Man,https://en.wikipedia.org/wiki/Travelin%27_Man
Ricky Nelson,Hello Mary Lou,https://en.wikipedia.org/wiki/Hello_Mary_Lou
Ricky Nelson,Young World,https://en.wikipedia.org/wiki/Young_World
Ricky Nelson,Teen Age Idol,https://en.wikipedia.org/wiki/Teen_idol
Ricky Nelson,Fools Rush In,https://en.wikipedia.org/wiki/Fools_Rush_In_(Where_Angels_Fear_to_Tread)
Ricky Nelson,For You,https://en.wikipedia.org/wiki/For_You_(Ricky_Nelson_song)
Johnny Burnette,Dreamin',https://en.wikipedia.org/wiki/Dreamin%27_(Johnny_Burnette_song)
Johnny Tillotson,Poetry In Motion,https://en.wikipedia.org/wiki/Poetry_in_Motion_(song)
Johnny Tillotson,Without You,
Johnny Tillotson,It Keeps Right On a-Hurtin',https://en.wikipedia.org/wiki/It_Keeps_Right_On_a-Hurtin%27
Annette Funicello,O Dio Mio,
Joe Jones,You Talk Too Much,https://en.wikipedia.org/wiki/You_Talk_Too_Much
Johnny and The Hurricanes,Beatnik Fly,
Bob Luman,Let's Think About Livin',https://en.wikipedia.org/wiki/Let%27s_Think_About_Living
Guy Mitchell,Heartaches By The Number,https://en.wikipedia.org/wiki/Heartaches_by_the_Number
Barrett Strong,Money,https://en.wikipedia.org/wiki/Money_(That%27s_What_I_Want)
Maurice Williams and the Zodiacs,Stay,https://en.wikipedia.org/wiki/Stay_(Maurice_Williams_song)
Charlie Rich,Lonely Weekends,
Larry Hall,Sandy,
Bobby Lewis,Tossin' And Turnin',https://en.wikipedia.org/wiki/Tossin%27_and_Turnin%27
Bobby Lewis,One Track Mind,
Patsy Cline,I Fall To Pieces,https://en.wikipedia.org/wiki/I_Fall_to_Pieces
Patsy Cline,She's Got You,https://en.wikipedia.org/wiki/She%27s_Got_You
The Highwaymen,Michael,
The Highwaymen,Cotton Fields,https://en.wikipedia.org/wiki/Cotton_Fields
Del Shannon,Runaway,https://en.wikipedia.org/wiki/Runaway_(Del_Shannon_song)
Del Shannon,Hats Off To Larry,https://en.wikipedia.org/wiki/Hats_Off_to_Larry
