Artist,URL,WikiWordCount
The Marvelettes,https://en.wikipedia.org/wiki/The_Marvelettes,3009
Nat King Cole,https://en.wikipedia.org/wiki/Nat_King_Cole,4416
Jay and The Americans,https://en.wikipedia.org/wiki/Jay_and_the_Americans,978
Ketty Lester,https://en.wikipedia.org/wiki/Ketty_Lester,768
Claudine Clark,https://en.wikipedia.org/wiki/Claudine_Clark,108
Bent Fabric,https://en.wikipedia.org/wiki/Bent_Fabric,630
The Isley Brothers,https://en.wikipedia.org/wiki/The_Isley_Brothers,2160
Richard Chamberlain,https://en.wikipedia.org/wiki/Richard_Chamberlain,1395
Ace Cannon,https://en.wikipedia.org/wiki/Ace_Cannon,341
Clyde McPhatter,https://en.wikipedia.org/wiki/Clyde_McPhatter,1688
Barbara George,https://en.wikipedia.org/wiki/Barbara_George,338
Burl Ives,https://en.wikipedia.org/wiki/Burl_Ives,2470
Emilio Pericoli,https://en.wikipedia.org/wiki/Emilio_Pericoli,208
Ernie Maresca,https://en.wikipedia.org/wiki/Ernie_Maresca,533
Don and Juan,https://en.wikipedia.org/wiki/Don_Juan,1478
The Corsairs,https://en.wikipedia.org/wiki/The_Corsairs,240
Booker T. and The M.G.'s,https://en.wikipedia.org/wiki/Booker_T._%26_the_M.G.%27s,3484
Frankie Valli and The Four Seasons,https://en.wikipedia.org/wiki/The_Four_Seasons_(band),4256
Joanie Sommers,https://en.wikipedia.org/wiki/Joanie_Sommers,1067
"Dave ""Baby"" Cortez",https://en.wikipedia.org/wiki/Dave_%22Baby%22_Cortez,452
Henry Mancini,https://en.wikipedia.org/wiki/Henry_Mancini,2486
Ray Stevens,https://en.wikipedia.org/wiki/Ray_Stevens,2640
Gene Pitney,https://en.wikipedia.org/wiki/Gene_Pitney,2010
The Duprees,https://en.wikipedia.org/wiki/The_Duprees,645
Joe Henderson,https://en.wikipedia.org/wiki/Joe_Henderson,1173
Chris Montez,https://en.wikipedia.org/wiki/Chris_Montez,1050
Johnny Crawford,https://en.wikipedia.org/wiki/Johnny_Crawford,1048
Barbara Lynn,https://en.wikipedia.org/wiki/Barbara_Lynn,714
The Crystals,https://en.wikipedia.org/wiki/The_Crystals,1856
Dickey Lee,https://en.wikipedia.org/wiki/Dickey_Lee,457
Larry Finnegan,https://en.wikipedia.org/wiki/Larry_Finnegan,186
James Darren,https://en.wikipedia.org/wiki/James_Darren,1299
Walter Brennan,https://en.wikipedia.org/wiki/Walter_Brennan,1896
Billy Vaughn,https://en.wikipedia.org/wiki/Billy_Vaughn,715
Billy Joe and The Checkmates,https://en.wikipedia.org/wiki/Lew_Bedell,818
Jimmy Soul,https://en.wikipedia.org/wiki/Jimmy_Soul,338
Jimmy Smith,https://en.wikipedia.org/wiki/Jimmy_Smith_(musician),1305
King Curtis,https://en.wikipedia.org/wiki/King_Curtis,1142
The Ikettes,https://en.wikipedia.org/wiki/The_Ikettes,1813
The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio,6161
"Peter, Paul and Mary","https://en.wikipedia.org/wiki/Peter,_Paul_and_Mary",1386
Ronnie and The Hi-lites,https://en.wikipedia.org/wiki/Ronnie_%26_the_Hi-Lites,265
The Beach Boys,https://en.wikipedia.org/wiki/The_Beach_Boys,15103
Jimmy Gilmer and The Fireballs,https://en.wikipedia.org/wiki/The_Fireballs,673
Skeeter Davis,https://en.wikipedia.org/wiki/Skeeter_Davis,1796
The Cascades,https://en.wikipedia.org/wiki/The_Cascades_(band),651
The Chiffons,https://en.wikipedia.org/wiki/The_Chiffons,993
Paul and Paula,https://en.wikipedia.org/wiki/Paul_%26_Paula,506
Stevie Wonder,https://en.wikipedia.org/wiki/Stevie_Wonder,4980
The Village Stompers,https://en.wikipedia.org/wiki/The_Village_Stompers,216
The Impressions,https://en.wikipedia.org/wiki/The_Impressions,2033
The Angels,https://en.wikipedia.org/wiki/The_Angels_(American_group),812
Kyu Sakamoto,https://en.wikipedia.org/wiki/Kyu_Sakamoto,1644
Lesley Gore,https://en.wikipedia.org/wiki/Lesley_Gore,1458
The Tymes,https://en.wikipedia.org/wiki/The_Tymes,438
Dale and Grace,https://en.wikipedia.org/wiki/Dale_Houston,862
Nino Tempo and April Stevens,https://en.wikipedia.org/wiki/Nino_Tempo_%26_April_Stevens,554
The Surfaris,https://en.wikipedia.org/wiki/The_Surfaris,930
Al Martino,https://en.wikipedia.org/wiki/Al_Martino,1555
The Rockin' Rebels,https://en.wikipedia.org/wiki/Rockin%27_Rebel,778
Inez and Charlie Foxx,https://en.wikipedia.org/wiki/Inez_and_Charlie_Foxx,529
Little Peggy March,https://en.wikipedia.org/wiki/Peggy_March,941
The Chantays,https://en.wikipedia.org/wiki/The_Chantays,674
Jan and Dean,https://en.wikipedia.org/wiki/Jan_and_Dean,4719
Eydie Gorme,https://en.wikipedia.org/wiki/Eydie_Gorm%C3%A9,1750
Martha and The Vandellas,https://en.wikipedia.org/wiki/Martha_and_the_Vandellas,2807
Randy and The Rainbows,https://en.wikipedia.org/wiki/Randy_%26_the_Rainbows,409
The Rooftop Singers,https://en.wikipedia.org/wiki/The_Rooftop_Singers,428
Trini Lopez,https://en.wikipedia.org/wiki/Trini_Lopez,1331
The Essex,https://en.wikipedia.org/wiki/The_Essex,520
Los Indios Tabajaras,https://en.wikipedia.org/wiki/Los_Indios_Tabajaras,377
Ruby And The Romantics,https://en.wikipedia.org/wiki/Ruby_%26_the_Romantics,1335
Barbara Lewis,https://en.wikipedia.org/wiki/Barbara_Lewis,703
The Ronettes,https://en.wikipedia.org/wiki/The_Ronettes,4527
Major Lance,https://en.wikipedia.org/wiki/Major_Lance,1416
The Four Seasons,https://en.wikipedia.org/wiki/The_Four_Seasons_(band),4256
Bill Anderson,https://en.wikipedia.org/wiki/Bill_Anderson_(singer),1898
Garnet Mimms and the Enchanters,https://en.wikipedia.org/wiki/Garnet_Mimms,844
Lou Christie,https://en.wikipedia.org/wiki/Lou_Christie,1818
Lonnie Mack,https://en.wikipedia.org/wiki/Lonnie_Mack,8225
Kai Winding,https://en.wikipedia.org/wiki/Kai_Winding,1069
Bill Pursell,https://en.wikipedia.org/wiki/Bill_Pursell,360
Tony Bennett,https://en.wikipedia.org/wiki/Tony_Bennett,6608
The Jaynetts,https://en.wikipedia.org/wiki/The_Jaynetts,1280
Marvin Gaye,https://en.wikipedia.org/wiki/Marvin_Gaye,7086
Rufus Thomas,https://en.wikipedia.org/wiki/Rufus_Thomas,1954
Ned Miller,https://en.wikipedia.org/wiki/Ned_Miller,400
Johnny Mathis,https://en.wikipedia.org/wiki/Johnny_Mathis,2566
Jan Bradley,https://en.wikipedia.org/wiki/Jan_Bradley,291
The Cookies,https://en.wikipedia.org/wiki/The_Cookies,643
Johnny Cash,https://en.wikipedia.org/wiki/Johnny_Cash,8925
Doris Troy,https://en.wikipedia.org/wiki/Doris_Troy,542
Allan Sherman,https://en.wikipedia.org/wiki/Allan_Sherman,3735
Rolf Harris,https://en.wikipedia.org/wiki/Rolf_Harris,5455
Dixie Belles,https://en.wikipedia.org/wiki/The_Dixiebelles,246
Sunny and the Sunglows,https://en.wikipedia.org/wiki/Sunny_%26_the_Sunglows,334
Bobby Bare,https://en.wikipedia.org/wiki/Bobby_Bare,1542
The Beatles,https://en.wikipedia.org/wiki/The_Beatles,14112
Louis Armstrong,https://en.wikipedia.org/wiki/Louis_Armstrong,9606
Dean Martin,https://en.wikipedia.org/wiki/Dean_Martin,4570
Gale Garnett,https://en.wikipedia.org/wiki/Gale_Garnett,1522
J. Frank Wilson and the Cavaliers,https://en.wikipedia.org/wiki/J._Frank_Wilson_and_the_Cavaliers,376
The Supremes,https://en.wikipedia.org/wiki/The_Supremes,5042
Barbra Streisand,https://en.wikipedia.org/wiki/Barbra_Streisand,9030
Al Hirt,https://en.wikipedia.org/wiki/Al_Hirt,961
Manfred Mann,https://en.wikipedia.org/wiki/Manfred_Mann,1907
Billy J. Kramer and The Dakotas,https://en.wikipedia.org/wiki/Billy_J._Kramer,1328
The Ray Charles Singers,"https://en.wikipedia.org/wiki/Ray_Charles_(musician,_born_1918)",1894
The Dixie Cups,https://en.wikipedia.org/wiki/The_Dixie_Cups,963
Terry Stafford,https://en.wikipedia.org/wiki/Terry_Stafford,603
The Dave Clark Five,https://en.wikipedia.org/wiki/The_Dave_Clark_Five,1911
The Newbeats,https://en.wikipedia.org/wiki/The_Newbeats,566
Peter and Gordon,https://en.wikipedia.org/wiki/Peter_and_Gordon,951
The Honeycombs,https://en.wikipedia.org/wiki/The_Honeycombs,2399
The Serendipity Singers,https://en.wikipedia.org/wiki/The_Serendipity_Singers,2064
Betty Everett and Jerry Butler,https://en.wikipedia.org/wiki/Betty_Everett,1249
Dusty Springfield,https://en.wikipedia.org/wiki/Dusty_Springfield,7320
Dionne Warwick,https://en.wikipedia.org/wiki/Dionne_Warwick,7251
The Animals,https://en.wikipedia.org/wiki/The_Animals,3699
Ronny and the Daytonas,https://en.wikipedia.org/wiki/Ronny_%26_the_Daytonas,679
Johnny Rivers,https://en.wikipedia.org/wiki/Johnny_Rivers,1516
Danny Williams,https://en.wikipedia.org/wiki/Danny_Williams_(singer),864
The Rip Chords,https://en.wikipedia.org/wiki/The_Rip_Chords,2071
Betty Everett,https://en.wikipedia.org/wiki/Betty_Everett,1249
Millie Small,https://en.wikipedia.org/wiki/Millie_Small,833
Gerry and the Pacemakers,https://en.wikipedia.org/wiki/Gerry_and_the_Pacemakers,954
Chad and Jeremy,https://en.wikipedia.org/wiki/Chad_%26_Jeremy,1030
Stan Getz and Astrud Gilberto,https://en.wikipedia.org/wiki/Getz/Gilberto,1553
The Shangri-Las,https://en.wikipedia.org/wiki/The_Shangri-Las,3675
Bobby Freeman,https://en.wikipedia.org/wiki/Bobby_Freeman,581
The Four Tops,https://en.wikipedia.org/wiki/Four_Tops,3598
Diane Renay,https://en.wikipedia.org/wiki/Diane_Renay,527
The Bachelors,https://en.wikipedia.org/wiki/The_Bachelors,1206
The Marketts,https://en.wikipedia.org/wiki/The_Marketts,390
The Hondells,https://en.wikipedia.org/wiki/The_Hondells,830
Bobby Goldsboro,https://en.wikipedia.org/wiki/Bobby_Goldsboro,618
The Reflections,https://en.wikipedia.org/wiki/The_Reflections_(Detroit_band),623
The New Christy Minstrels,https://en.wikipedia.org/wiki/The_New_Christy_Minstrels,2148
Joe Hinton,https://en.wikipedia.org/wiki/Joe_Hinton,282
The Temptations,https://en.wikipedia.org/wiki/The_Temptations,9521
The Trashmen,https://en.wikipedia.org/wiki/The_Trashmen,620
The Tams,https://en.wikipedia.org/wiki/The_Tams,706
The Kinks,https://en.wikipedia.org/wiki/The_Kinks,9987
Sammy Davis Jr.,https://en.wikipedia.org/wiki/Sammy_Davis_Jr.,4058
The Jelly Beans,https://en.wikipedia.org/wiki/The_Jelly_Beans,150
Roger Miller,https://en.wikipedia.org/wiki/Roger_Miller,3536
Nancy Wilson,https://en.wikipedia.org/wiki/Nancy_Wilson_(rock_musician),8448
The Kingsmen,https://en.wikipedia.org/wiki/The_Kingsmen,2634
The Searchers,https://en.wikipedia.org/wiki/The_Searchers,3642
Tommy Tucker,https://en.wikipedia.org/wiki/Tommy_Tucker_(singer),314
Robert Maxwell,https://en.wikipedia.org/wiki/Robert_Maxwell,2992
Jumpin' Gene Simmons,https://en.wikipedia.org/wiki/Jumpin%27_Gene_Simmons,321
Jimmy Hughes,https://en.wikipedia.org/wiki/Jimmy_Hughes_(singer),618
Sam the Sham and the Pharaohs,https://en.wikipedia.org/wiki/Sam_the_Sham,1129
Four Tops,https://en.wikipedia.org/wiki/Four_Tops,3598
The Rolling Stones,https://en.wikipedia.org/wiki/The_Rolling_Stones,13624
We Five,https://en.wikipedia.org/wiki/We_Five,1179
The Righteous Brothers,https://en.wikipedia.org/wiki/The_Righteous_Brothers,2658
Petula Clark,https://en.wikipedia.org/wiki/Petula_Clark,4478
Herman's Hermits,https://en.wikipedia.org/wiki/Herman%27s_Hermits,2048
Jewel Akens,https://en.wikipedia.org/wiki/Jewel_Akens,298
Mel Carter,https://en.wikipedia.org/wiki/Mel_Carter,265
Junior Walker and the All Stars,https://en.wikipedia.org/wiki/Junior_Walker,1102
Sonny and Cher,https://en.wikipedia.org/wiki/Sonny_%26_Cher,2377
Gary Lewis and The Playboys,https://en.wikipedia.org/wiki/Gary_Lewis_%26_the_Playboys,972
Ramsey Lewis Trio,https://en.wikipedia.org/wiki/Ramsey_Lewis,920
The Seekers,https://en.wikipedia.org/wiki/The_Seekers,3634
The Byrds,https://en.wikipedia.org/wiki/The_Byrds,13506
Sounds Orchestral,https://en.wikipedia.org/wiki/Sounds_Orchestral,821
Barbara Mason,https://en.wikipedia.org/wiki/Barbara_Mason,462
