,Rank,RankPowerlaw,Artist_x,Title,Year,SpotifyPlayCount,WikiWordCount,Yeargetawards,Awards,Artist_y,Awardscore
882,65,6.360293906,Blue Magoos,(We Ain't Got) Nothin' Yet,1967,637843,846,,,,
966,77,5.687430745,Vanilla Fudge,(You Keep Me) Hangin' On,1968,1561590,1607,,,,
111,53,7.277428145,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967,47272819,4542,,,,
637,3,48.42838339,The Righteous Brothers,(You're My) Soul and Inspiration,1966,2009018,2690,,,,
30,69,6.114481004,Elvis Presley,(You're the) Devil in Disguise,1963,16593049,19509,,,,
938,48,7.769280177,1910 Fruitgum Company,"1, 2, 3, Red Light",1968,188396,578,,,,
629,62,6.561777272,The Rolling Stones,19th Nervous Breakdown,1966,5316930,13638,,,,
480,99,4.818155049,Bobby Bare,500 Miles,1963,2379488,1533,,,,
808,100,4.786300923,Wilson Pickett,634-5789,1966,973614,3001,,,,
726,5,34.56844127,? and the Mysterians,96 Tears,1966,3040043,1979,,,,
907,35,9.570069478,The Rascals,A Beautiful Morning,1968,2144939,2093,,,,
136,96,4.917008807,Andy Williams,A Fool Never Learns,1964,137312,3980,,,,
768,34,9.754924552,The Mindbenders,A Groovy Kind of Love,1966,1144597,978,,,,
219,26,11.64441273,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,213849,909,,,,
729,60,6.705330284,The Monkees,"A Little Bit You, A Little Bit Me",1967,1867724,18620,,,,
329,46,7.990608098,Burl Ives,A Little Bitty Tear,1962,300810,2470,,,,
133,55,7.101672245,Jimmy Charles,A Million To One,1960,57306,334,,,,
89,75,5.787081068,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,881349,1481,,,,
569,50,7.562750921,Chad and Jeremy,A Summer Song,1964,2344444,1030,,,,
367,83,5.412631479,Billy Vaughn,A Swingin' Safari,1962,390073,715,,,,
685,47,7.877989793,Horst Jankowski,A Walk in the Black Forest,1965,266055,493,,,,
862,38,9.064478563,Procol Harum,A Whiter Shade Of Pale,1967,19406809,2788,,,,
536,30,10.59497587,Peter and Gordon,A World Without Love,1964,2782696,951,,,,
349,61,6.632577127,Ray Stevens,Ahab The Arab,1962,194946,2640,,,,
855,87,5.247075258,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough,1967,201057355,581,,,,
856,57,6.936215781,Marvin Gaye and Tammi Terrell,Ain't Nothing Like The Real Thing,1968,7685617,581,,,,
591,48,7.769280177,The Temptations,Ain't Too Proud to Beg,1966,26620715,9519,,,,
331,48,7.769280177,Emilio Pericoli,Al Di La,1962,58051,208,,,,
601,62,6.561777272,The Kinks,All Day and All of the Night,1965,46065659,9987,,,,
713,90,5.130975533,Cher,All I Really Want to Do,1965,764751,12651,,,,
497,30,10.59497587,The Beatles,All You Need Is Love,1967,37228030,14112,,,,
61,16,16.04282372,Hollywood Argyles,Alley Oop,1960,218008,564,,,,
46,73,5.891242669,Connie Francis,Among My Souvenirs,1960,1725415,4607,,,,
272,76,5.736711756,Rosie and The Originals,Angel Baby,1961,3204938,827,,,,
931,28,11.08857401,Merrilee Rush,Angel Of The Morning,1968,719339,916,,,,
96,88,5.207645782,Sam Cooke,Another Saturday Night,1963,5407127,2895,,,,
547,71,6.000251993,Dionne Warwick,Anyone Who Had a Heart,1964,1556585,7251,,,,
230,35,9.570069478,Jorgen Ingmann,Apache,1961,148229,524,,,,
847,21,13.40711287,Jay and The Techniques,"Apples, Peaches, Pumpkin Pie",1967,280359,346,,,,
27,96,4.917008807,Elvis Presley,Are You Lonesome Tonight?,1961,11573507,19509,,,,
238,44,8.228510611,Kokomo,Asia Minor,1961,38898,751,,,,
763,53,7.277428145,Donovan,Atlantis,1969,2640311,6108,,,,
262,39,8.910403258,Carla Thomas,B-A-B-Y,1966,9284829,1161,,,,
88,27,11.35794904,Dinah Washington and Brook Benton,Baby (You've Got What It Takes),1960,5561544,1481,,,,
266,66,6.296526022,The Echoes,Baby Blue,1961,29769,2474,,,,
655,72,5.945119004,Sonny and Cher,Baby Don't Go,1965,759198,2377,,,,
834,59,6.780124557,Aretha Franklin,Baby I Love You,1967,5884570,4631,,,,
561,95,4.951108236,Johnny Rivers,Baby I Need Your Lovin',1967,168107,1516,,,,
574,57,6.936215781,The Four Tops,Baby I Need Your Loving,1964,5096779,3598,,,,
