Year,Awards,Title,Artist
1987,Best Contemporary Composition,Penderecki: Cello Concerto No. 2,Krzysztof Penderecki
1987,Best Engineered Recording - Classical,Faure: Requiem/Durufle: Requiem,Jack Renner
1986,Record Of The Year,Higher Love,Steve Winwood
1986,Song Of The Year,That's What Friends Are For,Burt Bacharach
1986,"Best Pop Vocal Performance, Female",The Broadway Album,Barbra Streisand
1986,"Best Pop Vocal Performance, Male",Higher Love,Steve Winwood
1986,Best Pop Performance By A Duo Or Group With Vocal,That's What Friends Are For,Dionne Warwick
1986,"Best Pop Instrumental Performance, (Orchestra, Group Or Soloist)",Top Gun Anthem,Harold Faltermeyer
1986,Best New Age Recording,Down To The Moon,Andreas Vollenweider
1986,"Best Rock Vocal Performance, Female",Back Where You Started,Tina Turner
1986,"Best Rock Vocal Performance, Male",Addicted To Love,Robert Palmer
1986,Best Rock Performance By A Duo Or Group With Vocal,Missionary Man,Eurythmics
1986,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",Peter Gunn,Art Of Noise
1986,"Best R&B Vocal Performance, Female",Rapture,Anita Baker
1986,"Best R&B Vocal Performance, Male",Living In America,James Brown
1986,Best R&B Performance By A Duo Or Group With Vocal,Kiss,Prince And The Revolution
1986,"Best R&B Instrumental Performance (Orchestra, Group Or Soloist)",And You Know That,Yellowjackets
1986,Best Rhythm & Blues Song,Sweet Love,Anita Baker
1986,"Best Jazz Fusion Performance, Vocal Or Instrumental",Double Vision,Bob James
1986,"Best Jazz Vocal Performance, Female",Timeless,Diane Schuur
1986,"Best Jazz Vocal Performance, Male",'Round Midnight,Bobby McFerrin
1986,"Best Jazz Vocal Performance, Duo Or Group",Free Fall,2+2 Plus
1986,"Best Jazz Instrumental Performance, Soloist",Tutu,Miles Davis
1986,"Best Jazz Instrumental Performance, Group",J Mood,Wynton Marsalis
1986,"Best Jazz Instrumental Performance, Big Band",The Tonight Show Band With Doc Severinsen,Doc Severinsen
1986,"Best Country Vocal Performance, Female",Whoever's In New England,Reba McEntire
1986,"Best Country Vocal Solo Performance, Male",Lost In The Fifties Tonight,Ronnie Milsap
1986,Best Country Performance By A Duo Or Group With Vocal,Grandpa (Tell Me 'Bout The Good Old Days),Judds
1986,"Best Country Instrumental Performance (Orchestra, Group Or Soloist)",Raisin' The Dickins,Ricky Skaggs
1986,Best Country Song,Grandpa (Tell Me 'Bout The Good Old Days),Jamie O'Hara
1986,"Best Gospel Performance, Female",Morning Like This,Sandi Patti
1986,"Best Gospel Performance, Male",Triumph,Philip Bailey
1986,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",They Say,Deniece Williams
1986,"Best Soul Gospel Performance, Female",I Surrender All,Deniece Williams
1986,"Best Soul Gospel Performance, Male",Going Away,Al Green
1986,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Let My People Go,Winans
1986,Best Latin Pop Performance,Le Lo Lai,Jose Feliciano
1986,Best Tropical Latin Performance,Escenas,Rubén Blades
1986,Best Mexican-American Performance,Ay Te Dejo En San Antonio,Flaco Jimenez
1986,Best Traditional Blues Recording,Showdown!,Albert Collins
1986,Best Traditional Folk Recording,Riding The Midnight Train,Doc Watson
1986,Best Contemporary Folk Recording,Tribute To Steve Goodman,Al Bunetta
1986,Best Polka Recording,I Remember Warsaw,Jimmy Sturr
1986,Best Polka Recording,Another Polka Celebration,Eddie Blazonczyk
1986,Best Reggae Recording,Babylon The Bandit,Steel Pulse
1986,Best Recording For Children,The Alphabet,Jim Henson
1986,Best Comedy Recording,"Those Of You With Or Without Children, You'll Understand",Bill Cosby
1986,Best Spoken Word Or Non-Musical Recording,Interviews From The Class Of '55 Recording Sessions,Carl Perkins
1986,Best Instrumental Composition,Out Of Africa,John Barry
1986,Best Arrangement On An Instrumental,Suite Memories,Pat Williams
1986,Best Instrumental Arrangement Accompanying Vocals,Somewhere,David Foster
1986,Best Engineered Recording - Non-Classical,Back In The High Life,Jason Corsaro
1986,Best Classical Orchestral Recording,Liszt: A Faust Symphony,Georg Solti
1986,Best Opera Recording,Bernstein: Candide,David Eisler
1986,Best Choral Performance (Other Than Opera),Orff: Carmina Burana,Margaret Hillis
1986,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Horowitz - The Studio Recordings, New York 1985",Vladimir Horowitz
1986,Best Chamber Music Performance,Beethoven: Cello And Piano Sonata No. 4 In C & Variations,Emanuel Ax
1986,Best Classical Vocal Soloist Performance,Mozart: Kathleen Battle Sings Mozart,Kathleen Battle
1986,Best Contemporary Composition,Lutoslawski: Symphony No. 3,Witold Lutoslawski
1986,"Best Engineered Recording, Classical","Horowitz - The Studio Recordings, New York 1985",Paul Goodman
1985,Record Of The Year,We Are The World,Quincy Jones
1985,Song Of The Year,We Are The World,Lionel Richie
1985,"Best Pop Vocal Performance, Female",Saving All My Love For You,Whitney Houston
1985,"Best Pop Vocal Performance, Male",No Jacket Required,Phil Collins
1985,Best Pop Performance By A Duo Or Group With Vocal,We Are The World,Quincy Jones
1985,"Best Pop Instrumental Performance (Orchestra, Group Or Soloist)",Miami Vice Theme,Jan Hammer
1985,"Best Rock Vocal Performance, Female",One Of The Living,Tina Turner
1985,"Best Rock Vocal Performance, Male",The Boys Of Summer,Don Henley
1985,Best Rock Performance By A Duo Or Group With Vocal,Money For Nothing,Dire Straits
1985,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",Escape,Jeff Beck 
1985,"Best R&B Vocal Performance, Female",Freeway Of Love,Aretha Franklin
1985,"Best R&B Vocal Performance, Male",In Square Circle,Stevie Wonder
1985,Best R&B Performance By A Duo Or Group With Vocal,Nightshift,Commodores
1985,"Best R&B Instrumental Performance (Orchestra, Group Or Soloist)",Musician,Ernie Watts
1985,Best Rhythm & Blues Song,Freeway Of Love,Jeffrey Cohen
1985,"Best Jazz Fusion Performance, Vocal Or Instrumental",Straight To The Heart,David Sanborn
1985,"Best Jazz Vocal Performance, Female",Cleo At Carnegie - The 10th Anniversary Concert,Cleo Laine
1985,"Best Jazz Vocal Performance, Male",Another Night In Tunisia,Bobby McFerrin
1985,"Best Jazz Vocal Performance, Duo Or Group",Vocalese,Manhattan Transfer
1985,"Best Jazz Instrumental Performance, Soloist",Black Codes From The Underground,Wynton Marsalis
1985,"Best Jazz Instrumental Performance, Group",Black Codes From The Underground,Wynton Marsalis
1985,"Best Jazz Instrumental Performance, Big Band",The Cotton Club - Original Motion Picture Soundtrack,Bob Wilber
1985,"Best Country Vocal Performance, Female",I Don't Know Why You Don't Want Me,Rosanne Cash
1985,"Best Country Vocal Performance, Male",Lost In The Fifties Tonight (In The Still Of The Night),Ronnie Milsap
1985,Best Country Performance By A Duo Or Group With Vocal,Why Not Me,Judds
1985,"Best Country Instrumental Performance (Orchestra, Group Or Soloist)",Cosmic Square Dance,Chet Atkins
1985,Best Country Song,Highwayman,Jimmy L. Webb
1985,"Best Gospel Performance, Female",Unguarded,Amy Grant
1985,"Best Gospel Performance, Male",How Excellent Is Thy Name,Larnelle Harris
1985,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",I've Just Seen Jesus,Larnelle Harris
1985,"Best Soul Gospel Performance, Female",Martin,Shirley Caesar
1985,"Best Soul Gospel Performance, Male",Bring Back The Days Of Yea And Nay,Marvin Winans
1985,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,Winans
1985,Best Inspirational Performance,Come Sunday,Jennifer Holliday
1985,Best Latin Pop Performance,Es Facil Amar,Lani Hall
1985,Best Tropical Latin Performance,Mambo Diablo,Tito Puente
1985,Best Tropical Latin Performance,Solito,Eddie Palmieri
1985,Best Mexican-American Performance,Simplemente Mujer,Vikki Carr
1985,Best Traditional Blues Recording,My Guitar Sings The Blues,B.B. King
1985,Best Ethnic Or Traditional Folk Recording,My Toot Toot,Rockin' Sidney
1985,Best Polka Recording,70 Years Of Hits,Frank Yankovic
1985,Best Reggae Recording,Cliff Hanger,Jimmy Cliff
1985,Best Recording For Children,Follow That Bird - Original Motion Picture Soundtrack,Jim Henson
1985,Best Comedy Recording,Whoopi Goldberg - Original Broadway Show Recording,Whoopi Goldberg
1985,Best Spoken Word Or Non-Musical Recording,Ma Rainey's Black Bottom,Mike Berniker
1985,Best Instrumental Composition,Miami Vice Theme,Jan Hammer
1985,Best Arrangement On An Instrumental,Early A.M. Attitude,Dave Grusin
1985,Best Instrumental Arrangement Accompanying Vocal(s),Lush Life,Nelson Riddle
1985,Best Vocal Arrangement For Two Or More Voices,Another Night In Tunisia,Bobby McFerrin
1985,Best Engineered Recording - Non Classical,Brothers In Arms,Neil Dorfsman
1985,Best Classical Orchestral Recording,Faure: Pelleas Et Melisande,Robert Shaw
1985,Best Opera Recording,Schoenberg: Moses Und Aron,Franz Mazura
1985,Best Choral Performance (Other Than Opera),Berlioz: Requiem,Robert Shaw
1985,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),"Elgar: Cello Concerto, Op. 85/Walton: Concerto For Cello & Orch.",Yo-Yo Ma
1985,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Ravel: Gaspard De La Nuit; Pavane Pour Une Infante Defunte; Valses Nobles Et Sentimentales,Vladimir Ashkenazy
1985,Best Chamber Music Performance,Brahms: Cello And Piano Sonatas In E Minor And F,Emanuel Ax
1985,Best Classical Vocal Soloist Performance,Berlioz: Requiem,John Aler
1985,Best Contemporary Composition,Lloyd Webber: Requiem,Andrew Lloyd Webber
1985,"Best Engineered Recording, Classical",Berlioz: Requiem,Jack Renner
1984,Record Of The Year,What's Love Got To Do With It,Tina Turner
1984,Song Of The Year,What's Love Got To Do With It,Graham Lyle
1984,"Best Pop Vocal Performance, Female",What's Love Got To Do With It,Tina Turner
1984,"Best Pop Vocal Performance, Male",Against All Odds (Take A Look At Me Now),Phil Collins
1984,Best Pop Performance By A Duo Or Group With Vocal,Jump (For My Love),Pointer Sisters
1984,Best Pop Instrumental Performance,Ghostbusters (Instrumental),Ray Parker Jr.
1984,"Best Rock Vocal Performance, Female",Better Be Good To Me,Tina Turner
1984,"Best Rock Vocal Performance, Male",Dancing In The Dark,Bruce Springsteen
1984,Best Rock Performance By A Duo Or Group With Vocal,Purple Rain - Music From The Motion Picture,Prince And The Revolution
1984,Best Rock Instrumental Performance,Cinema,Yes
1984,"Best R&B Vocal Performance, Female",I Feel For You,Chaka Khan
1984,"Best R&B Vocal Performance, Male",Caribbean Queen (No More Love On The Run),Billy Ocean
1984,Best R&B Performance By A Duo Or Group With Vocal,Yah Mo B There,James Ingram
1984,Best R&B Instrumental Performance,Sound System,Herbie Hancock
1984,Best Rhythm & Blues Song,I Feel For You,Prince
1984,"Best Jazz Fusion Performance, Vocal Or Instrumental",First Circle,Pat Metheny Group
1984,"Best Country Vocal Performance, Female",In My Dreams,Emmylou Harris
1984,"Best Country Vocal Performance, Male",That's The Way Love Goes,Merle Haggard
1984,Best Country Performance By A Duo Or Group With Vocal,Mama He's Crazy,Judds
1984,Best Country Instrumental Performance,Wheel Hoss,Ricky Skaggs
1984,Best Country Song,City Of New Orleans,Steve Goodman
1984,"Best Gospel Performance, Female",Angels,Amy Grant
1984,"Best Gospel Performance, Male",Michael W. Smith,Michael W. Smith
1984,Best Gospel Performance By A Duo Or Group,Keep The Flame Burning,Debby Boone
1984,"Best Soul Gospel Performance, Female",Sailin',Shirley Caesar
1984,"Best Soul Gospel Performance, Male",Always Remember,Andrae Crouch
1984,Best Soul Gospel Performance By A Duo Or Group,Sailin' On The Sea Of Your Love,Al Green
1984,Best Inspirational Performance,Forgive Me,Donna Summer
1984,Best Latin Pop Performance,Always In My Heart (Siempre En Mi Corazon),Placido Domingo
1984,Best Tropical Latin Performance,Palo Pa Rumba,Eddie Palmieri
1984,Best Mexican-American Performance,Me Gustas Tal Como Eres,Luis Miguel
1984,Best Traditional Blues Recording,Blues Explosion,J.B. Hutto And The New Hawks
1984,Best Ethnic Or Traditional Folk Recording,Elizabeth Cotten Live!,Elizabeth Cotten
1984,Best Reggae Recording,Anthem,Black Uhuru
1984,Best Recording For Children,Where The Sidewalk Ends,Shel Silverstein
1984,Best Comedy Recording,Eat It,"""Weird Al"" Yankovic"
1984,Best Spoken Word Or Non-Musical Recording,The Words Of Gandhi,Ben Kingsley
1984,Best Instrumental Composition,The Natural,Randy Newman
1984,Best Instrumental Composition,Olympic Fanfare & Theme,John Williams
1984,Best Jazz Vocal Performance,Nothin' But The Blues,Joe Williams
1984,"Best Jazz Instrumental Performance, Soloist",Hot House Flowers,Wynton Marsalis
1984,"Best Jazz Instrumental Performance, Group",New York Scene,Art Blakey
1984,"Best Jazz Instrumental Performance, Big Band",88 Basie Street,Count Basie
1984,Best Arrangement On An Instrumental,Grace (Gymnastics Theme),Jeremy Lubbock
1984,Best Instrumental Arrangement Accompanying Vocal(s),Hard Habit To Break,David Foster
1984,Best Vocal Arrangement For Two Or More Voices,Automatic,Pointer Sisters
1984,Best Engineered Recording - Non-Classical,17,Humberto Gatica
1984,Best Classical Orchestral Recording,Prokofiev: Symphony No. 5 In B Flat,Leonard Slatkin
1984,Best Opera Recording,Bizet: Carmen,Faith Esham
1984,Best Choral Performance (Other Than Opera),Brahms: A German Requiem,Margaret Hillis
1984,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),"Wynton Marsalis-Edita Gruberova-Handel, Purcell, Etc,",Wynton Marsalis
1984,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Bach: The Unaccompanied Cello Suites,Yo-Yo Ma
1984,Best Chamber Music Performance,Beethoven: The Late String Quartets,Juilliard String Quartet
1984,Best Classical Vocal Soloist Performance,Ravel: Songs Of Maurice Ravel,Heather Harper
1984,Best New Classical Composition,Barber: Antony And Cleopatra,Samuel Barber
1984,"Best Engineered Recording, Classical","Prokofiev: Symphony No. 5 In B Flat, Op. 100",Paul Goodman
1983,Record Of The Year,Beat It,Michael Jackson
1983,Song Of The Year,Every Breath You Take,Sting
1983,"Best Pop Vocal Performance, Female",Flashdance - What A Feeling,Irene Cara
1983,"Best Pop Vocal Performance, Male",Thriller,Michael Jackson
1983,Best Pop Performance By A Duo Or Group With Vocal,Every Breath You Take,Police
1983,Best Pop Instrumental Performance,Being With You,George Benson
1983,"Best Rock Vocal Performance, Female",Love Is A Battlefield,Pat Benatar
1983,"Best Rock Vocal Performance, Male",Beat It,Michael Jackson
1983,Best Rock Performance By A Duo Or Group With Vocal,Synchronicity,Police
1983,Best Rock Instrumental Performance,Brimstone And Treacle,Sting
1983,"Best R&B Vocal Performance, Female",Chaka Khan,Chaka Khan
1983,"Best R&B Vocal Performance, Male",Billie Jean,Michael Jackson
1983,Best R&B Performance By A Duo Or Group With Vocal,Ain't Nobody,Chaka Khan
1983,Best R&B Instrumental Performance,Rockit,Herbie Hancock
1983,Best Rhythm & Blues Song,Billie Jean,Michael Jackson
1983,"Best Jazz Fusion Performance, Vocal Or Instrumental",Travels,Pat Metheny Group
1983,"Best Country Vocal Performance, Female",A Little Good News,Anne Murray
1983,"Best Country Vocal Performance, Male",I.O.U.,Lee Greenwood
1983,Best Country Performance By A Duo Or Group With Vocal,The Closer You Get...,Alabama
1983,Best Country Instrumental Performance,Fireball,New South
1983,Best New Country Song,Stranger In My House,Mike Reid
1983,"Best Gospel Performance, Female",Ageless Medley,Amy Grant
1983,"Best Gospel Performance, Male",Walls Of Glass,Russ Taff
1983,Best Gospel Performance By A Duo Or Group,More Than Wonderful,Larnelle Harris
1983,"Best Soul Gospel Performance, Female",We Sing Praises,Sandra Crouch
1983,"Best Soul Gospel Performance, Male",I'll Rise Again,Al Green
1983,Best Soul Gospel Performance By A Duo Or Group,I'm So Glad I'm Standing Here Today,Barbara Mandrell
1983,Best Inspirational Performance,He's A Rebel,Donna Summer
1983,Best Latin Pop Performance,Me Enamore,Jose Feliciano
1983,Best Tropical Latin Performance,On Broadway,Tito Puente
1983,Best Mexican-American Performance,Anselma,Los Lobos
1983,Best Traditional Blues Recording,Blues 'N' Jazz,B.B. King
1983,Best Ethnic Or Traditional Folk Recording,I'm Here,Clifton Chenier
1983,Best Recording For Children,E.T. The Extra-Terrestrial,Michael Jackson
1983,Best Comedy Recording,Eddie Murphy: Comedian,Eddie Murphy
1983,Best Spoken Word Or Non-Musical Recording,Copland: A Lincoln Portrait,William Warfield
1983,Best Instrumental Composition,Love Theme From Flashdance,Giorgio Moroder
1983,"Best Jazz Vocal Performance, Female",The Best Is Yet To Come,Ella Fitzgerald
1983,"Best Jazz Vocal Performance, Male",Top Drawer,Mel Tormé
1983,"Best Jazz Vocal Performance, Duo Or Group",Why Not!,Manhattan Transfer
1983,"Best Jazz Instrumental Performance, Soloist",Think Of One,Wynton Marsalis
1983,"Best Jazz Instrumental Performance, Group",At The Vanguard,Phil Woods
1983,"Best Jazz Instrumental Performance, Big Band",All In Good Time,Rob McConnell
1983,Best Arrangement On An Instrumental,Summer Sketches '82,Dave Grusin
1983,Best Instrumental Arrangement Accompanying Vocal(s),What's New,Nelson Riddle
1983,Best Vocal Arrangement For Two Or More Voices,Be Bop Medley,Arif Mardin
1983,Best Engineered Recording - Non-Classical,Thriller,Bruce Swedien
1983,Best Orchestral Recording,Mahler: Symphony No. 9 In D,Georg Solti
1983,Best Opera Recording,Mozart: Le Nozze Di Figaro,Frederica von Stade
1983,Best Opera Recording,Verdi: La Traviata,Cornell MacNeil
1983,Best Choral Performance (Other Than Opera),Haydn: The Creation,Margaret Hillis
1983,Best Chamber Music Performance,"Brahms: Sonata For Cello And Piano In E Minor, Op. 38 And Sonata In F, Op. 99",Mstislav Rostropovich
1983,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Haydn: Trumpet Concerto In E Flat/L. Mozart: Trumpet Concerto In D/Hummel: Trumpet Concerto In E Flat,Wynton Marsalis
1983,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Beethoven: Piano Sonatas Nos. 12 & 13,Glenn Gould
1983,Best Classical Vocal Soloist Performance,Leontyne Price & Marilyn Horne In Concert At The Met,Leontyne Price
1983,"Best Engineered Recording, Classical",Mahler: Symphony No. 9 In D,James Lock
1982,Record Of The Year,Rosanna,Toto
1982,Song Of The Year,Always On My Mind,Johnny Christopher
1982,"Best Pop Vocal Performance, Female",You Should Hear How She Talks About You,Melissa Manchester
1982,"Best Pop Vocal Performance, Male",Truly,Lionel Richie
1982,Best Pop Performance By A Duo Or Group With Vocal,Up Where We Belong,Jennifer Warnes
1982,Best Pop Instrumental Performance,Chariots Of Fire Theme (Dance Version),Ernie Watts
1982,"Best Rock Vocal Performance, Female",Shadows Of The Night,Pat Benatar
1982,"Best Rock Vocal Performance, Male",Hurts So Good,John Cougar Mellencamp
1982,Best Rock Performance By A Duo Or Group With Vocal,Eye Of The Tiger,Survivor
1982,Best Rock Instrumental Performance,D.N.A.,Flock Of Seagulls
1982,"Best R&B Vocal Performance, Female",And I Am Telling You I'm Not Going,Jennifer Holliday
1982,"Best R&B Vocal Performance, Male",Sexual Healing,Marvin Gaye
1982,Best R&B Performance By A Duo Or Group With Vocal,Wanna Be With You,Earth
1982,Best R&B Performance By A Duo Or Group With Vocal,Let It Whip,Dazz Band
1982,Best R&B Instrumental Performance,Sexual Healing (Instrumental Version),Marvin Gaye
1982,Best Rhythm & Blues Song,Turn Your Love Around,Bill Champlin
1982,"Best Jazz Fusion Performance, Vocal Or Instrumental",Offramp,Pat Metheny
1982,"Best Country Vocal Performance, Female",Break It To Me Gently,Juice Newton
1982,"Best Country Vocal Performance, Male",Always On My Mind,Willie Nelson
1982,Best Country Performance By A Duo Or Group With Vocal,Mountain Music,Alabama
1982,Best Country Instrumental Performance,Alabama Jubilee,Roy Clark
1982,Best Country Song,Always On My Mind,Johnny Christopher
1982,"Best Gospel Performance, Contemporary",Age To Age,Amy Grant
1982,"Best Gospel Performance, Traditional",I'm Following You,Blackwood Brothers
1982,"Best Soul Gospel Performance, Contemporary",Higher Plane,Al Green
1982,"Best Soul Gospel Performance, Traditional",Precious Lord,Al Green
1982,Best Inspirational Performance,He Set My Life To Music,Barbara Mandrell
1982,Best Traditional Blues Recording,Alright Again,"Clarence ""Gatemouth"" Brown"
1982,Best Ethnic Or Traditional Folk Recording,Queen Ida & The Bon Temps Zydeco Band On Tour,Queen Ida
1982,Best Latin Recording,Machito & His Salsa Big Band '82,Machito
1982,Best Recording For Children,In Harmony 2,David Levine
1982,Best Comedy Recording,Live On The Sunset Strip,Richard Pryor
1982,"Best Spoken Word, Documentary Or Drama Recording",Raiders Of The Lost Ark - The Movie On Record,Tom Voegeli
1982,Best Instrumental Composition,Flying - Theme From E.T. The Extra-Terrestrial,John Williams
1982,"Best Jazz Vocal Performance, Female",Gershwin Live!,Sarah Vaughan
1982,"Best Jazz Vocal Performance, Male",An Evening With George Shearing & Mel Tormé,Mel Tormé
1982,Best Jazz Vocal Performance Duo Or Group,Route 66,Manhattan Transfer
1982,"Best Jazz Instrumental Performance, Soloist",We Want Miles,Miles Davis
1982,"Best Jazz Instrumental Performance, Group","""More"" Live",Phil Woods
1982,"Best Jazz Instrumental Performance, Big Band",Warm Breeze,Count Basie
1982,Best Arrangement On An Instrumental Recording,Flying,John Williams
1982,Best Instrumental Arrangement Accompanying Vocal(s),Rosanna,David Paich
1982,Best Vocal Arrangement For Two Or More Voices,Rosanna,David Paich
1982,Best Engineered Recording - Non-Classical,Toto IV,Al Schmitt
1982,Best Orchestral Performance,Mahler: Sym. No. 7 In E Min. (Song Of The Night),James Levine
1982,Best Opera Recording,Wagner: Der Ring Des Nibelungen,Donald McIntyre
1982,Best Choral Performance (Other Than Opera),Berlioz: La Damnation De Faust,Margaret Hillis
1982,Best Chamber Music Performance,"Brahms: The Sonatas For Clarinet & Piano, Op. 120",Richard Goode
1982,"Best Classical Performance, Instrumental Soloist (With Orchestra)",Elgar: Violin Concerto In B Minor,Itzhak Perlman
1982,"Best Classical Performance, Instrumental Soloist (Without Orchestra)",Bach: The Goldberg Variations,Glenn Gould
1982,Best Classical Vocal Soloist Performance,Verdi: Arias (Leontyne Price Sings Verdi),Leontyne Price
1982,"Best Engineered Recording, Classical",Mahler: Symphony No. 7 In E Minor (Song Of The Night),Paul Goodman
1981,Record Of The Year,Bette Davis Eyes,Kim Carnes
1981,Song Of The Year,Bette Davis Eyes,Donna Weiss
1981,"Best Pop Vocal Performance, Female","Lena Horne - The Lady And Her Music, Live On Broadway",Lena Horne
1981,"Best Pop Vocal Performance, Male",Breakin' Away,Al Jarreau
1981,Best Pop Vocal Performance By A Duo Or Group With Vocal,Boy From New York City,Manhattan Transfer
1981,Best Pop Instrumental Performance,The Theme From Hill Street Blues,Larry Carlton
1981,"Best Rock Vocal Performance, Female",Fire And Ice,Pat Benatar
1981,"Best Rock Vocal Performance, Male",Jessie's Girl,Rick Springfield
1981,Best Rock Performance By A Duo Or Group With Vocal,Don't Stand So Close To Me,Police
1981,Best Rock Instrumental Performance,Behind My Camel,Police
1981,"Best R&B Vocal Performance, Female",Hold On I'm Comin',Aretha Franklin
1981,"Best R&B Vocal Performance, Male",One Hundred Ways,James Ingram
1981,Best R&B Performance By A Duo Or Group With Vocal,The Dude,Quincy Jones
1981,Best R&B Instrumental Performance,All I Need Is You,David Sanborn
1981,Best Rhythm & Blues Song,Just The Two Of Us,Bill Withers
1981,"Best Jazz Fusion Performance, Vocal Or Instrumental",Winelight,Grover Washington Jr.
1981,"Best Country Vocal Performance, Female",9 To 5,Dolly Parton
1981,"Best Country Vocal Performance, Male",(There's) No Gettin' Over Me,Ronnie Milsap
1981,Best Country Performance By A Duo Or Group With Vocal,Elvira,Oak Ridge Boys
1981,Best Country Instrumental Performance,Country After All These Years,Chet Atkins
1981,Best Country Song,9 To 5,Dolly Parton
1981,Best Gospel Performance Contemporary Or Inspirational,Priority,Imperials
1981,"Best Gospel Performance, Traditional",The Masters V,Masters V
1981,"Best Soul Gospel Performance, Contemporary",Don't Give Up,Andrae Crouch
1981,"Best Soul Gospel Performance, Traditional",The Lord Will Make A Way,Al Green
1981,Best Inspirational Performance,Amazing Grace,B.J. Thomas
1981,Best Ethnic Or Traditional Recording,There Must Be A Better World Somewhere,B.B. King
1981,Best Latin Recording,Guajira Pa La Jeva,Clare Fischer
1981,Best Recording For Children,Sesame Country,Dennis Scott
1981,Best Comedy Recording,Rev. Du Rite,Richard Pryor
1981,"Best Spoken Word, Documentary Or Drama Recording",Donovan's Brain,Orson Welles
1981,Best Instrumental Composition,The Theme From Hill Street Blues,Mike Post
1981,"Best Jazz Vocal Performance, Female",Digital III At Montreaux,Ella Fitzgerald
1981,"Best Jazz Vocal Performance, Male",Blue Rondo A La Turk,Al Jarreau
1981,"Best Jazz Vocal Performance, Duo Or Group",Until I Met You (Corner Pocket),Manhattan Transfer
1981,"Best Jazz Instrumental Performance, Soloist",Bye Bye Blackbird,John Coltrane
1981,"Best Jazz Instrumental Performance, Group","Chick Corea & Gary Burton In Concert - Zurich, October 28, 1979",Chick Corea
1981,"Best Jazz Instrumental Performance, Big Band",Walk On The Water,Gerry Mulligan
1981,Best Arrangement On An Instrumental Recording,Velas,Johnny Mandel
1981,Best Instrumental Arrangement Accompanying Vocal(s),Ai No Corrida,Jerry Hey
1981,Best Vocal Arrangement For Two Or More Voices,A Nightingale Sang In Berkeley Square,Gene Puerling
1981,Best Engineered Recording - Non-Classical,Gaucho,Bill Schnee
1981,Best Classical Orchestral Recording,Mahler: Symphony No. 2 In C Minor,Georg Solti
1981,Best Opera Recording,Janácek: From The House Of The Dead,Ivo Zidek
1981,Best Choral Performance (Other Than Opera),Haydn: The Creation,Neville Marriner
1981,Best Chamber Music Performance,Tchaikovsky: Piano Trio In A Minor,Itzhak Perlman
1981,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Isaac Stern 60th Anniversary Celebration,Isaac Stern
1981,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),The Horowitz Concerts 1979/80,Vladimir Horowitz
1981,Best Classical Vocal Soloist Performance,Live From Lincoln Center - Sutherland/Horne/Pavarotti,Joan Sutherland
1981,"Best Engineered Recording, Classical",Isaac Stern 60th Anniversary Celebration,Andrew Kazdin
1980,Record Of The Year,Sailing,Christopher Cross
1980,Song Of The Year,Sailing,Christopher Cross
1980,"Best Pop Vocal Performance, Female",The Rose,Bette Midler
1980,"Best Pop Vocal Performance, Male",This Is It,Kenny Loggins
1980,Best Pop Performance By A Duo Or Group With Vocal,Guilty,Barbra Streisand
1980,Best Pop Instrumental Performance,One On One,Bob James
1980,"Best Rock Vocal Performance, Female",Crimes Of Passion,Pat Benatar
1980,"Best Rock Vocal Performance, Male",Glass Houses,Billy Joel
1980,Best Rock Performance By A Duo Or Group With Vocal,Against The Wind,Bob Seger And The Silver Bullet Band
1980,Best Rock Instrumental Performance,Reggatta De Blanc,Police
1980,"Best R&B Vocal Performance, Female",Never Knew Love Like This Before,Stephanie Mills
1980,"Best R&B Vocal Performance, Male",Give Me The Night,George Benson
1980,Best R&B Performance By A Duo Or Group With Vocal,Shining Star,Manhattans
1980,Best R&B Instrumental Performance,Off Broadway,George Benson
1980,Best Rhythm & Blues Song,Never Knew Love Like This Before,James Mtume
1980,"Best Jazz Fusion Performance, Vocal Or Istrumental",Birdland,Manhattan Transfer
1980,"Best Country Vocal Performance, Female",Could I Have This Dance?,Anne Murray
1980,"Best Country Vocal Performance, Male",He Stopped Loving Her Today,George Jones
1980,Best Country Performance Duo Or Group,That Lovin' You Feelin' Again,Emmylou Harris
1980,Best Country Instrumental Performance,Orange Blossom Special/Hoedown,Gilley's Urban Cowboy Band
1980,Best Country Song,On The Road Again,Willie Nelson
1980,"Best Gospel Performance, Contemporary Or Inspirational",The Lord's Prayer,Andrae Crouch
