Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,Tar-Pre
53,7.277428145,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967,47272819,4544,95994,64,chicago soul,2.5408186133435517
36,9.393779234,Toni Fisher,The Big Hurt,1960,23972,339,129,12,,-0.5659680188022929
37,9.225435187999999,Duane Eddy,Because They're Young,1960,293238,1636,16533,47,,-0.6842528523271678
38,9.064478563,Conway Twitty,Lonely Blue Boy,1960,756676,3103,152800,62,rock,-0.873947682679276
39,8.910403257999999,Steve Lawrence,Pretty Blue Eyes,1960,201888,1304,5202,35,pop music,-0.1823732429980911
69,6.114481004,Steve Lawrence,Footsteps,1960,152385,1304,5202,35,traditional pop music,-0.46367611797487207
30,10.59497587,Steve Lawrence,Portrait Of My Love,1961,61982,1304,5202,35,traditional pop music,-1.4557633893772746
91,5.093692001,Steve Lawrence,Go Away Little Girl,1963,208416,1304,5202,35,pop,-0.4281134843329166
40,8.762749681,Freddie Cannon,Way Down Yonder In New Orleans,1960,190729,1289,4208,36,,-0.2885556474408464
94,4.985808764,Anita Bryant,In My Little Corner Of The World,1960,15789,2741,474,21,pop,-1.5666200646506905
42,8.485070759,Larry Verne,Mr. Custer,1960,154240,163,174,14,novelty,1.097349217505574
44,8.228510611,Fendermen,Mule Skinner Blues,1960,257280,230,475,21,,1.0834432373789937
46,7.990608097999999,Marv Johnson,You've Got What It Takes,1960,53493,1131,4260,27,,-0.9735122361819837
65,6.360293906,Marv Johnson,I Love The Way You Love,1960,27503,1131,4260,27,,-1.638767950770367
47,7.877989792999999,Hank Locklin,"Please Help Me, I'm Falling",1960,1127831,601,8477,45,country,0.7930353145201003
48,7.769280177000001,Ron Holden,Love You So,1960,27102,391,79,15,,-0.5931253365010782
49,7.664266317999999,Hank Ballard and The Midnighters,Finger Poppin' Time,1960,354730,825,802,24,,1.2358296532130346
50,7.562750921,Platters,Harbor Lights,1960,787854,2324,121510,66,,-1.095495920965135
51,7.464550900000001,Billy Bland,Let The Little Girl Dance,1960,11473647,265,210,14,,5.418776645559202
52,7.369496097000001,Jeanne Black,He'll Have To Stay,1960,45318,234,31,8,country,0.4312877115568625
53,7.277428145,Ferrante and Teicher,Theme From The Apartment,1960,131144,1231,3636,46,,-1.3145853559104967
17,15.41358678,Ferrante and Teicher,Exodus,1961,338866,1231,3636,46,,-0.45779764153748914
55,7.101672245,Jimmy Charles,A Million To One,1960,57306,334,124,15,,0.10969653456284689
56,7.017717833,Andy Williams,The Village Of St. Bernadette,1960,83052,3980,94409,75,"vocal pop, inspirational, traditional pop, gospel, hymns, contemporary gospel",-3.888857897970066
11,20.54380234,Andy Williams,Can't Get Used To Losing You,1963,2633306,3980,94409,75,easy listening,-0.7098926811419144
96,4.917008807,Andy Williams,A Fool Never Learns,1964,137312,3980,94409,75,easy listening,-3.756153420822571
57,6.9362157810000005,The Browns,The Old Lamplighter,1960,62470,707,1592,31,countrypolitan,-1.028525980847144
58,6.857053284,Bill Black's Combo,White Silver Sands,1960,30065,2017,108,5,,0.23890415761998796
59,6.780124557000001,Bobby Vee,Devil Or Angel,1960,717957,1614,35092,55,,-0.3801104598579137
12,19.39725958,Bobby Vee,Take Good Care Of My Baby,1961,8915018,1614,35092,55,"rock and roll, pop",2.046451332327356
89,5.168953147,Bobby Vee,Rubber Ball,1961,1688587,1614,35092,55,,0.38260614648363145
78,5.63920084,Bobby Vee,The Night Has a Thousand Eyes,1963,2254109,1614,35092,55,pop,0.48642667786053373
60,6.7053302839999995,The Four Preps,Down By The Station,1960,23715,951,1433,24,,-1.509033910515969
98,4.850547815,The Four Preps,More Money For You And Me,1961,7549,951,1433,24,,-2.7462476441915005
61,6.632577127,The Little Dippers,Forever,1960,40043,193,38,12,easy listening,0.015536655960030288
62,6.5617772720000005,The Safaris,Image Of A Girl,1960,83982,125,242,14,,0.44728063816664765
63,6.49284802,Brook Benton,Kiddio,1960,213883,708,12824,49,,-1.1586398961168545
25,11.94977132,Brook Benton,The Boll Weevil Song,1961,48225,708,12824,49,novelty song,-2.7407125523676434
78,5.63920084,Brook Benton,Think Twice,1961,62191,708,12824,49,pop,-2.486379816417328
64,6.4257114170000005,Donnie Brooks,Mission Bell,1960,80369,607,119,12,,0.6834582319483076
67,6.234342105,Ray Peterson,Tell Laura I Love Her,1960,1317706,527,3375,38,pop,1.4794328253460645
90,5.130975533,Ray Peterson,Missing You,1961,36663,527,3375,38,,-2.1949678059627544
72,5.9451190039999995,Fats Domino,Walking To New Orleans,1960,1725415,3431,111029,65,,-0.21598372472234573
