,Artist,Title,URL,GenreRaw
82,The Ventures,Hawaii Five-O,,
83,The Drifters,Save The Last Dance For Me,https://en.wikipedia.org/wiki/Save_the_Last_Dance_for_Me,"r&b, pop"
84,The Drifters,Please Stay,https://en.wikipedia.org/wiki/Please_Stay_(Burt_Bacharach_song),
85,The Drifters,Up on the Roof,https://en.wikipedia.org/wiki/Up_on_the_Roof_(song),
86,The Drifters,Under the Boardwalk,https://en.wikipedia.org/wiki/Under_the_Boardwalk,"pop, soul"
87,Dinah Washington and Brook Benton,Baby (You've Got What It Takes),https://en.wikipedia.org/wiki/Baby_(You%27ve_Got_What_It_Takes),r&b
88,Dinah Washington and Brook Benton,A Rockin' Good Way,https://en.wikipedia.org/wiki/Dinah_Washington,
89,Johnny Horton,Sink The Bismark,https://en.wikipedia.org/wiki/Sink_the_Bismark,country
90,Sam Cooke,Chain Gang,https://en.wikipedia.org/wiki/Chain_Gang_(song),"rhythm and blues, soul"
91,Sam Cooke,Wonderful World,https://en.wikipedia.org/wiki/The_Wonderful_World_of_Sam_Cooke,"rhythm and blues, soul"
92,Sam Cooke,Twistin' The Night Away,https://en.wikipedia.org/wiki/Twistin%27_the_Night_Away,rhythm and blues
93,Sam Cooke,Having A Party,https://en.wikipedia.org/wiki/Having_a_Party_(song),"rhythm and blues, soul"
94,Sam Cooke,Little Red Rooster,https://en.wikipedia.org/wiki/Little_Red_Rooster,
95,Sam Cooke,Another Saturday Night,https://en.wikipedia.org/wiki/Another_Saturday_Night,"r&b, soul"
96,Sam Cooke,Shake,https://en.wikipedia.org/wiki/Shake_(Sam_Cooke_song),
97,Bobby Darin,Beyond The Sea,https://en.wikipedia.org/wiki/Beyond_the_Sea_(film),
98,Bobby Darin,You Must Have Been A Beautiful Baby,https://en.wikipedia.org/wiki/You_Must_Have_Been_a_Beautiful_Baby,
99,Bobby Darin,Things,https://en.wikipedia.org/wiki/Things_(Bobby_Darin_song),pop rock
100,Bobby Darin,You're The Reason I'm Living,https://en.wikipedia.org/wiki/You%27re_the_Reason_I%27m_Living,pop
101,Bobby Darin,If I Were A Carpenter,https://en.wikipedia.org/wiki/If_I_Were_a_Carpenter_(Bobby_Darin_album),folk rock
102,Jimmy Clanton,Go Jimmy Go,https://en.wikipedia.org/wiki/Go_Jimmy_Go,
103,Jimmy Clanton,Venus In Blue Jeans,https://en.wikipedia.org/wiki/Venus_in_Blue_Jeans,
104,Jackie Wilson,Night,https://en.wikipedia.org/wiki/Night_(Jackie_Wilson_song),pop
105,Jackie Wilson,Doggin' Around,https://en.wikipedia.org/wiki/Doggin%27_Around,
106,Jackie Wilson,Baby Workout,https://en.wikipedia.org/wiki/Baby_Workout,rock and roll
107,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,https://en.wikipedia.org/wiki/(Your_Love_Keeps_Lifting_Me)_Higher_and_Higher,chicago soul
108,Toni Fisher,The Big Hurt,https://en.wikipedia.org/wiki/The_Big_Hurt_(song),
109,Duane Eddy,Because They're Young,https://en.wikipedia.org/wiki/Because_They%27re_Young,
110,Conway Twitty,Lonely Blue Boy,https://en.wikipedia.org/wiki/Lonely_Blue_Boy,rock
111,Steve Lawrence,Pretty Blue Eyes,https://en.wikipedia.org/wiki/Pretty_Blue_Eyes,pop music
112,Steve Lawrence,Footsteps,https://en.wikipedia.org/wiki/Footsteps_(Steve_Lawrence_song),traditional pop music
113,Steve Lawrence,Portrait Of My Love,https://en.wikipedia.org/wiki/Portrait_of_My_Love,traditional pop music
114,Steve Lawrence,Go Away Little Girl,https://en.wikipedia.org/wiki/Go_Away_Little_Girl,pop
115,Freddie Cannon,Way Down Yonder In New Orleans,https://en.wikipedia.org/wiki/Way_Down_Yonder_in_New_Orleans,
116,Anita Bryant,In My Little Corner Of The World,https://en.wikipedia.org/wiki/My_Little_Corner_of_the_World,pop
117,Larry Verne,Mr. Custer,https://en.wikipedia.org/wiki/Mr._Custer,novelty
118,Fendermen,Mule Skinner Blues,https://en.wikipedia.org/wiki/Mule_Skinner_Blues,
119,Marv Johnson,You've Got What It Takes,https://en.wikipedia.org/wiki/You_Got_What_It_Takes,
120,Marv Johnson,I Love The Way You Love,https://en.wikipedia.org/wiki/Love_the_Way_You_Lie,
121,Hank Locklin,"Please Help Me, I'm Falling","https://en.wikipedia.org/wiki/Please_Help_Me,_I%27m_Falling",country
122,Ron Holden,Love You So,https://en.wikipedia.org/wiki/Love_You_So,
123,Hank Ballard and The Midnighters,Finger Poppin' Time,,
124,Platters,Harbor Lights,https://en.wikipedia.org/wiki/Harbor_Lights,
125,Billy Bland,Let The Little Girl Dance,https://en.wikipedia.org/wiki/The_Little_Match_Girl,
126,Jeanne Black,He'll Have To Stay,https://en.wikipedia.org/wiki/He%27ll_Have_to_Stay,country
127,Ferrante and Teicher,Theme From The Apartment,https://en.wikipedia.org/wiki/Ferrante_%26_Teicher,
128,Ferrante and Teicher,Exodus,https://en.wikipedia.org/wiki/Exodus_(soundtrack),
129,Jimmy Charles,A Million To One,https://en.wikipedia.org/wiki/A_Million_to_One,
130,Andy Williams,The Village Of St. Bernadette,https://en.wikipedia.org/wiki/The_Village_of_St._Bernadette,"vocal pop, inspirational, traditional pop, gospel, hymns, contemporary gospel"
131,Andy Williams,Can't Get Used To Losing You,https://en.wikipedia.org/wiki/Can%27t_Get_Used_to_Losing_You,easy listening
132,Andy Williams,A Fool Never Learns,https://en.wikipedia.org/wiki/A_Fool_Never_Learns,easy listening
133,The Browns,The Old Lamplighter,https://en.wikipedia.org/wiki/The_Old_Lamp-Lighter,countrypolitan
134,Bill Black's Combo,White Silver Sands,https://en.wikipedia.org/wiki/White_Silver_Sands,
135,Bobby Vee,Devil Or Angel,https://en.wikipedia.org/wiki/Devil_or_Angel,
136,Bobby Vee,Take Good Care Of My Baby,https://en.wikipedia.org/wiki/Take_Good_Care_of_My_Baby,"rock and roll, pop"
137,Bobby Vee,Rubber Ball,https://en.wikipedia.org/wiki/Bouncy_ball,
138,Bobby Vee,The Night Has a Thousand Eyes,https://en.wikipedia.org/wiki/The_Night_Has_a_Thousand_Eyes_(song),pop
139,The Four Preps,Down By The Station,https://en.wikipedia.org/wiki/Down_by_the_Station,
140,The Four Preps,More Money For You And Me,https://en.wikipedia.org/wiki/Catch_Me_If_You_Can,
141,The Little Dippers,Forever,https://en.wikipedia.org/wiki/Forever_(The_Little_Dippers_song),easy listening
142,The Safaris,Image Of A Girl,,
143,Brook Benton,Kiddio,https://en.wikipedia.org/wiki/Kiddio,
144,Brook Benton,The Boll Weevil Song,https://en.wikipedia.org/wiki/Boll_Weevil_(song),novelty song
145,Brook Benton,Think Twice,https://en.wikipedia.org/wiki/Think_Twice_(Brook_Benton_song),pop
146,Donnie Brooks,Mission Bell,,
147,Ray Peterson,Tell Laura I Love Her,https://en.wikipedia.org/wiki/Tell_Laura_I_Love_Her,pop
148,Ray Peterson,Missing You,,
149,Fats Domino,Walking To New Orleans,https://en.wikipedia.org/wiki/Fats_Domino,
150,Fats Domino,Let The Four Winds Blow,,
151,Neil Sedaka,Stairway To Heaven,https://en.wikipedia.org/wiki/Stairway_to_Heaven_(Neil_Sedaka_song),pop
152,Neil Sedaka,Calendar Girl,https://en.wikipedia.org/wiki/Calendar_Girl_(song),brill building
153,Neil Sedaka,Breaking Up Is Hard To Do,https://en.wikipedia.org/wiki/Breaking_Up_Is_Hard_to_Do,"brill building, doo-wop"
154,Ray Charles,Georgia On My Mind,https://en.wikipedia.org/wiki/Georgia_on_My_Mind,"jazz, soul, blues, traditional pop"
155,Ray Charles,Hit The Road Jack,https://en.wikipedia.org/wiki/Hit_the_Road_Jack,"r&b, jazz"
156,Ray Charles,One Mint Julep,https://en.wikipedia.org/wiki/One_Mint_Julep,
157,Ray Charles,You Don't Know Me,https://en.wikipedia.org/wiki/You_Don%27t_Know_Me_(Eddy_Arnold_song),
158,Ray Charles,Here We Go Again,https://en.wikipedia.org/wiki/Here_We_Go_Again_(Ray_Charles_song),rhythm and blues
159,Skip and Flip,Cherry Pie,https://en.wikipedia.org/wiki/Cherry_Pie_(Joe_Josea_song),pop
160,Lloyd Price,Lady Luck,,
161,The Crests,Step By Step,,
162,Paul Evans,Happy-Go-Lucky Me,https://en.wikipedia.org/wiki/Mr._Happy_Go_Lucky,
163,Ricky Nelson,Young Emotions,https://en.wikipedia.org/wiki/Young_Emotions,ballad
164,Ricky Nelson,Travelin' Man,https://en.wikipedia.org/wiki/Travelin%27_Man,pop
165,Ricky Nelson,Hello Mary Lou,https://en.wikipedia.org/wiki/Hello_Mary_Lou,rockabilly
166,Ricky Nelson,Young World,https://en.wikipedia.org/wiki/Young_World,
167,Ricky Nelson,Teen Age Idol,https://en.wikipedia.org/wiki/Teen_idol,
168,Ricky Nelson,Fools Rush In,https://en.wikipedia.org/wiki/Fools_Rush_In_(Where_Angels_Fear_to_Tread),
169,Ricky Nelson,For You,https://en.wikipedia.org/wiki/For_You_(Ricky_Nelson_song),
170,Johnny Burnette,Dreamin',https://en.wikipedia.org/wiki/Dreamin%27_(Johnny_Burnette_song),rockabilly
171,Johnny Tillotson,Poetry In Motion,https://en.wikipedia.org/wiki/Poetry_in_Motion_(song),
172,Johnny Tillotson,Without You,,
173,Johnny Tillotson,It Keeps Right On a-Hurtin',https://en.wikipedia.org/wiki/It_Keeps_Right_On_a-Hurtin%27,pop
174,Annette Funicello,O Dio Mio,,
175,Joe Jones,You Talk Too Much,https://en.wikipedia.org/wiki/You_Talk_Too_Much,r&b
176,Johnny and The Hurricanes,Beatnik Fly,,
177,Bob Luman,Let's Think About Livin',https://en.wikipedia.org/wiki/Let%27s_Think_About_Living,rockabilly
178,Guy Mitchell,Heartaches By The Number,https://en.wikipedia.org/wiki/Heartaches_by_the_Number,country
179,Barrett Strong,Money,https://en.wikipedia.org/wiki/Money_(That%27s_What_I_Want),
180,Maurice Williams and the Zodiacs,Stay,https://en.wikipedia.org/wiki/Stay_(Maurice_Williams_song),doo-wop
181,Charlie Rich,Lonely Weekends,,
182,Larry Hall,Sandy,,
183,Bobby Lewis,Tossin' And Turnin',https://en.wikipedia.org/wiki/Tossin%27_and_Turnin%27,r&b
184,Bobby Lewis,One Track Mind,,
185,Patsy Cline,I Fall To Pieces,https://en.wikipedia.org/wiki/I_Fall_to_Pieces,"country, traditional pop"
186,Patsy Cline,She's Got You,https://en.wikipedia.org/wiki/She%27s_Got_You,"country, traditional pop"
187,The Highwaymen,Michael,,
188,The Highwaymen,Cotton Fields,https://en.wikipedia.org/wiki/Cotton_Fields,
189,Del Shannon,Runaway,https://en.wikipedia.org/wiki/Runaway_(Del_Shannon_song),rock and roll
190,Del Shannon,Hats Off To Larry,https://en.wikipedia.org/wiki/Hats_Off_to_Larry,rock and roll
191,Del Shannon,Little Town Flirt,https://en.wikipedia.org/wiki/Little_Town_Flirt,pop rock
192,Del Shannon,Keep Searchin' (We'll Follow the Sun),https://en.wikipedia.org/wiki/Keep_Searchin%27_(We%27ll_Follow_the_Sun),rock and roll
193,The Jive Five,My True Story,https://en.wikipedia.org/wiki/My_True_Story,doo-wop
194,The String-A-Longs,Wheels,https://en.wikipedia.org/wiki/Wheels_(The_String-A-Longs_song),
195,Dee Clark,Raindrops,https://en.wikipedia.org/wiki/Raindrops_(Dee_Clark_song),r&b
196,Joe Dowell,Wooden Heart,https://en.wikipedia.org/wiki/Wooden_Heart,
197,Lawrence Welk,Calcutta,https://en.wikipedia.org/wiki/Calcutta_(song),easy listening
198,The Shirelles,Dedicated To The One I Love,https://en.wikipedia.org/wiki/Dedicated_to_the_One_I_Love,"pop, soul"
199,The Shirelles,Will You Love Me Tomorrow,https://en.wikipedia.org/wiki/Will_You_Love_Me_Tomorrow,r&b
200,The Shirelles,Mama Said,https://en.wikipedia.org/wiki/Mama_Said_(The_Shirelles_song),
201,The Shirelles,Soldier Boy,https://en.wikipedia.org/wiki/Soldier_Boy_(song),r&b
202,The Shirelles,Baby It's You,https://en.wikipedia.org/wiki/Baby_It%27s_You,
203,The Shirelles,Foolish Little Girl,https://en.wikipedia.org/wiki/Foolish_Little_Girl,"r&b, pop, soul"
204,The Mar-Keys,Last Night,https://en.wikipedia.org/wiki/Last_Night_(Mar-Keys_composition),"r&b, instrumental rock"
205,Sue Thompson,Sad Movies (Make Me Cry),https://en.wikipedia.org/wiki/Sad_Movies_(Make_Me_Cry),"pop, easy listening"
206,Sue Thompson,Norman,https://en.wikipedia.org/wiki/Norman_(song),
