Artist,URL,WikiWordCount,external_urls,followers,genres,href,id,images,name,popularity,type,uri
The Drifters,https://en.wikipedia.org/wiki/The_Drifters,4140.0,https://open.spotify.com/artist/1FqqOl9itIUpXr4jZPIVoT,113446,adult standards|brill building pop|bubblegum pop|chicago soul|christmas|disco|doo-wop|jazz christmas|mellow gold|memphis soul|motown|quiet storm|rock-and-roll|rockabilly|soul|soul blues|soul christmas|southern soul,https://api.spotify.com/v1/artists/1FqqOl9itIUpXr4jZPIVoT,1FqqOl9itIUpXr4jZPIVoT,https://i.scdn.co/image/9cebb08480116550d85b6268d9adb1c2aee718f7,,65,artist,spotify:artist:1FqqOl9itIUpXr4jZPIVoT
Dinah Washington and Brook Benton,https://en.wikipedia.org/wiki/Dinah_Washington,1481.0,https://open.spotify.com/artist/5ukAHW0IH7llv6ZAqBoTll,264,,https://api.spotify.com/v1/artists/5ukAHW0IH7llv6ZAqBoTll,5ukAHW0IH7llv6ZAqBoTll,https://i.scdn.co/image/9ffd6b5af9d7bb872ee82b307dfae64fac063cb3,,9,artist,spotify:artist:5ukAHW0IH7llv6ZAqBoTll
Johnny Horton,https://en.wikipedia.org/wiki/Johnny_Horton,1545.0,https://open.spotify.com/artist/1bBZcz4jP7CoPlqpCFh4gz,34800,country|country christmas|country gospel|country rock|cowboy western|nashville sound|outlaw country|rock-and-roll|rockabilly|traditional country|western swing,https://api.spotify.com/v1/artists/1bBZcz4jP7CoPlqpCFh4gz,1bBZcz4jP7CoPlqpCFh4gz,https://i.scdn.co/image/e30abba56c77e606432918a733a9c0b354be17c7,,53,artist,spotify:artist:1bBZcz4jP7CoPlqpCFh4gz
Sam Cooke,https://en.wikipedia.org/wiki/Sam_Cooke,2898.0,https://open.spotify.com/artist/6hnWRPzGGKiapVX1UCdEAC,471335,adult standards|brill building pop|chicago soul|christmas|classic funk rock|funk|jazz blues|mellow gold|memphis soul|motown|quiet storm|rock-and-roll|singer-songwriter|soul|soul blues|soul christmas|southern soul|vocal jazz,https://api.spotify.com/v1/artists/6hnWRPzGGKiapVX1UCdEAC,6hnWRPzGGKiapVX1UCdEAC,https://i.scdn.co/image/97a31210252e1f25a70c41b752bd52a451ad011b,,74,artist,spotify:artist:6hnWRPzGGKiapVX1UCdEAC
Bobby Darin,https://en.wikipedia.org/wiki/Bobby_Darin,3068.0,https://open.spotify.com/artist/0EodhzA6yW1bIdD5B4tcmJ,99662,adult standards|brill building pop|bubblegum pop|christmas|easy listening|folk rock|jazz blues|jazz christmas|lounge|mellow gold|rock-and-roll|rockabilly|soul|swing|vocal jazz,https://api.spotify.com/v1/artists/0EodhzA6yW1bIdD5B4tcmJ,0EodhzA6yW1bIdD5B4tcmJ,https://i.scdn.co/image/ae8a8b9d9b6a35f00b87fdae31f46db6a13fcd0e,,65,artist,spotify:artist:0EodhzA6yW1bIdD5B4tcmJ
Jimmy Clanton,https://en.wikipedia.org/wiki/Jimmy_Clanton,565.0,https://open.spotify.com/artist/2XZXvrqedRMiKv6UWjAT4B,1521,brill building pop|doo-wop|rock-and-roll|swamp pop,https://api.spotify.com/v1/artists/2XZXvrqedRMiKv6UWjAT4B,2XZXvrqedRMiKv6UWjAT4B,https://i.scdn.co/image/38e0b54b290ed00796b3b2373b42e880ab9fc681,,29,artist,spotify:artist:2XZXvrqedRMiKv6UWjAT4B
Jackie Wilson,https://en.wikipedia.org/wiki/Jackie_Wilson,4544.0,https://open.spotify.com/artist/4VnomLtKTm9Ahe1tZfmZju,95994,adult standards|brill building pop|chicago soul|christmas|classic funk rock|disco|funk|jazz blues|jazz christmas|memphis soul|motown|northern soul|quiet storm|rock-and-roll|rockabilly|soul|soul blues|soul christmas|southern soul,https://api.spotify.com/v1/artists/4VnomLtKTm9Ahe1tZfmZju,4VnomLtKTm9Ahe1tZfmZju,https://i.scdn.co/image/66cadd255a5f01b6496c0854bed1267888b312d1,,64,artist,spotify:artist:4VnomLtKTm9Ahe1tZfmZju
Toni Fisher,https://en.wikipedia.org/wiki/Toni_Fisher,339.0,https://open.spotify.com/artist/5pEtyfC9ZeFGakgX4hjhaG,129,deep adult standards,https://api.spotify.com/v1/artists/5pEtyfC9ZeFGakgX4hjhaG,5pEtyfC9ZeFGakgX4hjhaG,https://i.scdn.co/image/8c0ce0789b5697d65443c987d2a220fa666d1a86,,12,artist,spotify:artist:5pEtyfC9ZeFGakgX4hjhaG
Duane Eddy,https://en.wikipedia.org/wiki/Duane_Eddy,1636.0,https://open.spotify.com/artist/1I5Cu7bqjkRg85idwYsD91,16533,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|lounge|merseybeat|rock-and-roll|rockabilly|surf music,https://api.spotify.com/v1/artists/1I5Cu7bqjkRg85idwYsD91,1I5Cu7bqjkRg85idwYsD91,https://i.scdn.co/image/427b1b9c5b3c5f8d3341b65d491342528be05896,,47,artist,spotify:artist:1I5Cu7bqjkRg85idwYsD91
Conway Twitty,https://en.wikipedia.org/wiki/Conway_Twitty,3103.0,https://open.spotify.com/artist/7gi3jmwpUpNWdswT8eEprF,152800,country|country christmas|country gospel|country rock|cowboy western|nashville sound|outlaw country|traditional country,https://api.spotify.com/v1/artists/7gi3jmwpUpNWdswT8eEprF,7gi3jmwpUpNWdswT8eEprF,https://i.scdn.co/image/135e2c7a21b4a1d7606504e89821d41ab47ab2a5,,62,artist,spotify:artist:7gi3jmwpUpNWdswT8eEprF
Steve Lawrence,https://en.wikipedia.org/wiki/Steve_Lawrence,1304.0,https://open.spotify.com/artist/271pvVqDFiREx6PqzwOX8p,5202,adult standards|brill building pop|christmas|deep adult standards|easy listening|lounge,https://api.spotify.com/v1/artists/271pvVqDFiREx6PqzwOX8p,271pvVqDFiREx6PqzwOX8p,https://i.scdn.co/image/3243b8adc66c3fcdbf6007a3151a6e63c8dd41f8,,35,artist,spotify:artist:271pvVqDFiREx6PqzwOX8p
Freddie Cannon,https://en.wikipedia.org/wiki/Freddy_Cannon,1289.0,https://open.spotify.com/artist/1ffNa7yLg0ncUpBm5P03pm,4208,adult standards|brill building pop|bubblegum pop|doo-wop|merseybeat|rock-and-roll|rockabilly|surf music,https://api.spotify.com/v1/artists/1ffNa7yLg0ncUpBm5P03pm,1ffNa7yLg0ncUpBm5P03pm,https://i.scdn.co/image/b8a2707ca48b95d8c04abc56d13c605d1e094509,,36,artist,spotify:artist:1ffNa7yLg0ncUpBm5P03pm
Anita Bryant,https://en.wikipedia.org/wiki/Anita_Bryant,2741.0,https://open.spotify.com/artist/2M93P87MDGek6uzg7Jn7he,474,deep adult standards,https://api.spotify.com/v1/artists/2M93P87MDGek6uzg7Jn7he,2M93P87MDGek6uzg7Jn7he,https://i.scdn.co/image/fe93e338c69f218552c458c5194c897d78de9121,,21,artist,spotify:artist:2M93P87MDGek6uzg7Jn7he
Larry Verne,https://en.wikipedia.org/wiki/Larry_Verne,163.0,https://open.spotify.com/artist/6vWMWDRy2Jbshg42p1Iuzg,174,,https://api.spotify.com/v1/artists/6vWMWDRy2Jbshg42p1Iuzg,6vWMWDRy2Jbshg42p1Iuzg,https://i.scdn.co/image/42b65b9f621d439704f868aa9cdc63d966564cd5,,14,artist,spotify:artist:6vWMWDRy2Jbshg42p1Iuzg
Fendermen,https://en.wikipedia.org/wiki/The_Fendermen,230.0,https://open.spotify.com/artist/2hOXOavOPsbPgls3ebJLFp,475,rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/2hOXOavOPsbPgls3ebJLFp,2hOXOavOPsbPgls3ebJLFp,https://i.scdn.co/image/465a6548a493988f311cd8667780c18805b2e4b9,,21,artist,spotify:artist:2hOXOavOPsbPgls3ebJLFp
Marv Johnson,https://en.wikipedia.org/wiki/Marv_Johnson,1131.0,https://open.spotify.com/artist/40PAEtNxO98lBeQHCza9vA,4260,brill building pop|chicago soul|memphis soul|motown|northern soul|soul|soul christmas|southern soul,https://api.spotify.com/v1/artists/40PAEtNxO98lBeQHCza9vA,40PAEtNxO98lBeQHCza9vA,https://i.scdn.co/image/0ff38f30454266006aefa5758f82dc9cf8240360,,27,artist,spotify:artist:40PAEtNxO98lBeQHCza9vA
Hank Locklin,https://en.wikipedia.org/wiki/Hank_Locklin,601.0,https://open.spotify.com/artist/46Unp6DY3Zmy7QS1Fx47yq,8477,country gospel|cowboy western|nashville sound|outlaw country|traditional country|western swing,https://api.spotify.com/v1/artists/46Unp6DY3Zmy7QS1Fx47yq,46Unp6DY3Zmy7QS1Fx47yq,https://i.scdn.co/image/062bd42b66cc5ea712126327e4c1b0d166f7e0fd,,45,artist,spotify:artist:46Unp6DY3Zmy7QS1Fx47yq
Ron Holden,https://en.wikipedia.org/wiki/Ron_Holden,391.0,https://open.spotify.com/artist/0orxtneN4LcJWNxbLXtMZu,79,,https://api.spotify.com/v1/artists/0orxtneN4LcJWNxbLXtMZu,0orxtneN4LcJWNxbLXtMZu,https://i.scdn.co/image/f95e5d7e100f73d1310d8abeeca495a3d5f31cb6,,15,artist,spotify:artist:0orxtneN4LcJWNxbLXtMZu
