Rank,Title,Artist,SpotifyPlaycount,Year
83,Here Comes That Rainy Day Feeling Again,The Fortunes,329733,1971
84,Won't Get Fooled Again,The Who,41838447,1971
85,Trapped By a Thing Called Love,Denise LaSalle,1187612,1971
86,Mama's Pearl,The Jackson 5,1265964,1971
87,Timothy,The Buoys,139653,1971
88,I Woke Up In Love This Morning,The Partridge Family,487348,1971
89,Theme from Shaft,Isaac Hayes,12265269,1971
90,If I Were Your Woman,Gladys Knight & the Pips,2848357,1971
91,I Am...I Said,Neil Diamond,7782512,1971
92,The Wedding Song (There Is Love),Paul Stookey,821619,1971
93,Don't Knock My Love,Wilson Pickett,7165,1971
94,Love Her Madly,The Doors,35653622,1971
95,Here Comes the Sun,Richie Havens,1409981,1971
96,Sweet Mary,Wadsworth Mansion,68882,1971
97,Right on the Tip of My Tongue,Brenda & the Tabulations,193137,1971
98,One Less Bell to Answer,The 5th Dimension,968712,1971
99,Riders on the Storm,The Doors,63644782,1971
100,Somos Novios (It's Impossible),Perry Como,64631,1971
