Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,GenreClean,TarPre,GenreClean2
79,5.59198657,The Beach Boys,Barbara Ann,1966,11933298,15103,916992,77,"rock and roll, doo-wop","rock and roll, doo-wop",0.345660809,r&b
69,6.114481004,Edwin Starr,Twenty-five Miles,1969,3966098,1270,31095,56,,,0.344264009,r&b
83,5.412631479,Sonny and Cher,The Beat Goes On,1967,2903680,2377,46387,56,pop,pop,0.34180542,pop
32,10.15315495,The Intruders,Cowboys To Girls,1968,1929779,1068,33957,46,"r&b, philadelphia soul","r&b, philadelphia soul",0.330333371,r&b
80,5.545754095,Ray Charles,Here We Go Again,1967,10222548,6315,872966,72,rhythm and blues,r&b,0.318116653,r&b
1,100,Bobby Lewis,Tossin' And Turnin',1961,185664,220,564,26,r&b,r&b,0.31763464,r&b
20,13.84586851,The Association,Never My Love,1967,1900548,3791,31514,50,"baroque pop, sunshine pop, psychedelic pop","baroque pop, sunshine pop, psychedelic pop",0.314697808,sunshinePop
21,13.40711287,Jay and The Techniques,"Apples, Peaches, Pumpkin Pie",1967,280359,346,266,26,soul,soul,0.313319417,r&b
50,7.562750921,The Rolling Stones,Jumpin' Jack Flash,1968,24154098,13624,3253295,84,"hard rock, blues rock, rock and roll","hard rock, blues rock, rock and roll",0.302185988,rock
80,5.545754095,The Impressions,I'm So Proud,1964,1969494,2033,56679,55,,,0.30167669,r&b
45,8.107365283,The O'Kaysions,Girl Watcher,1968,164916,418,118,16,blue-eyed soul,blue-eyed soul,0.292837861,r&b
58,6.857053284,James Brown and The Famous Flames,I Got The Feelin',1968,3337941,3417,33827,59,folkORfunk,folkORfunk,0.290812117,r&b
97,4.883493965,Gene Pitney,Town Without Pity,1962,1116175,2010,31050,51,,,0.288632776,pop
18,14.84294734,Brenda Lee,Sweet Nothin's,1960,4478743,2547,56596,72,,,0.272266934,r&b
76,5.736711756,Lee Dorsey,Working In The Coal Mine,1966,1841556,752,10044,53,r&b,r&b,0.265074876,r&b
29,10.83471074,The Happenings,See You In September,1966,591096,550,3003,36,pop,pop,0.264910573,pop
31,10.36815025,Engelbert Humperdinck,Release Me,1967,3522968,3278,66528,61,pop,pop,0.256904005,pop
69,6.114481004,Crispian St. Peters,The Pied Piper,1966,382427,764,2160,30,pop rock,pop rock,0.25543138,popRock
77,5.687430745,Tony Joe White,Polk Salad Annie,1969,2683579,1629,24739,52,"swamp rock, rhythm and blues","swamp rock, r&b",0.252191179,r&b
81,5.500471104,The Cuff Links,Tracy,1969,243798,773,230,21,bubblegum pop,bubblegum pop,0.239370196,pop
58,6.857053284,Bill Black's Combo,White Silver Sands,1960,30065,2017,108,5,,,0.238904158,jazz
18,14.84294734,Hugh Masekela,Grazing In The Grass,1968,1112086,1428,13033,43,jazz,jazz,0.230827954,jazz
55,7.101672245,The Beatles,Penny Lane,1967,311626,14112,5042014,89,"progressive pop, baroque pop, psychedelic pop, psychedelic rock","progressive pop, baroque pop, psychedelic pop, psychedelic rock",0.220844923,rock
19,14.32262507,Mary Wells,The One Who Really Loves You,1962,1749941,2824,61278,59,soul,soul,0.217556438,r&b
57,6.936215781,The Everly Brothers,Walk Right Back,1961,2192314,4114,120725,63,rock,rock,0.206752928,rock
18,14.84294734,Dale and Grace,I'm Leaving It Up To You,1963,129104,862,312,23,"pop, doo-wop","pop, doo-wop",0.202013525,r&b
100,4.786300923,The Beach Boys,Surfin' Safari,1962,6351035,15103,916992,77,,,0.20089121,rock
84,5.370017132,The Fortunes,You've Got Your Troubles,1965,664723,1525,6342,41,pop,pop,0.200054508,pop
79,5.59198657,The Cookies,Don't Say Nothin' Bad (About My Baby),1963,127042,643,1312,20,r&b,r&b,0.195635897,r&b
45,8.107365283,"Blood, Sweat and Tears",You've Made Me So Very Happy,1969,2652093,3694,73037,52,jazz-rock,jazz-rock,0.19527555,jazz
54,7.188199443,Ray Charles,You Don't Know Me,1962,5666493,6315,872966,72,,,0.190696585,r&b
33,9.949031357,1910 Fruitgum Company,Simon Says,1968,552736,578,4236,31,,,0.186557204,pop
61,6.632577127,The Hondells,Little Honda,1964,97458,830,401,16,,,0.185608647,popRock
83,5.412631479,The Beatles,Something,1969,37384485,14112,5042014,89,"rock, pop","rock, pop",0.183058701,rock
76,5.736711756,Vic Dana,Red Roses for a Blue Lady,1965,172645,302,264,23,,,0.174810799,easyListening
2,63.2878297,Paul Mauriat,Love Is Blue,1968,2160381,1189,18819,54,,,0.16922457,easyListening
47,7.877989793,Arthur Lyman,Yellow Bird,1961,261189,1800,2598,36,,,0.149108471,jazz
55,7.101672245,Cass Elliot,It's Getting Better,1969,1356030,3679,14385,45,,,0.148134646,sunshinePop
55,7.101672245,The Beatles,Eight Days a Week,1965,22286205,14112,5042014,89,rock,rock,0.138147045,rock
62,6.561777272,The Mamas and The Papas,Dedicated To The One I Love,1967,5455493,5544,243320,67,pop,pop,0.134915016,pop
82,5.456106733,The Dells,"Oh, What A Night",1969,1991034,1145,53904,47,"doo-wop, soul","doo-wop, soul",0.131119096,r&b
24,12.27610461,The Four Seasons,Rag Doll,1964,3712082,4256,157449,67,rock,rock,0.128457274,rock
14,17.52086311,The Shirelles,Dedicated To The One I Love,1961,1401322,2186,51834,59,"pop, soul","pop, soul",0.128004412,r&b
12,19.39725958,Tommy James and The Shondells,Crystal Blue Persuasion,1969,3143091,1401,43850,56,blue-eyed soul,blue-eyed soul,0.124049521,r&b
76,5.736711756,The Flying Machine,Smile A Little Smile For Me,1969,208803,550,218,20,pop rock,pop rock,0.117135673,popRock
55,7.101672245,Jimmy Charles,A Million To One,1960,57306,334,124,15,,,0.109696535,r&b
55,7.101672245,Bob Moore,Mexico,1961,44613,611,122,12,"pop, country","pop, country",0.108800814,country
35,9.570069478,Dusty Springfield,Wishin' and Hopin',1964,3337374,7320,129104,67,pop,pop,0.10517797,pop
43,8.35431448,The Rip Chords,Hey Little Cobra,1964,125753,2071,1042,21,"hot rod rock, car song","hot rod rock, car song",0.100439587,rock
62,6.561777272,Tyrone Davis,Can I Change My Mind,1969,1826388,700,38314,46,soul,soul,0.096309923,r&b
36,9.393779234,The Beach Boys,Surfer Girl,1963,6457598,15103,916992,77,"surf rock, rock and roll","surf rock, rock and roll",0.096044527,rock
81,5.500471104,The Jelly Beans,I Wanna Love Him So Bad,1964,47284,150,40,8,,,0.095594813,r&b
14,17.52086311,The Doors,"Hello, I Love You",1968,12518264,8577,1978221,78,"psychedelic rock, acid rock","psychedelic rock, acid rock",0.089801551,rock
16,16.04282372,The Buckinghams,Kind Of A Drag,1967,612766,2064,10626,38,sunshine pop,sunshine pop,0.085728598,sunshinePop
58,6.857053284,Five Americans,Western Union,1967,119130,620,636,15,,,0.083593981,rock
82,5.456106733,Roger Miller,Chug-a-Lug,1964,1614734,3536,36057,57,country,country,0.078202995,country
31,10.36815025,Creedence Clearwater Revival,Green River,1969,19147069,4802,1379818,81,"roots rock, swamp rock (""green river""), hard rock (""commotion"")","roots rock, swamp rock (""green river""), hard rock (""commotion"")",0.067370746,rock
56,7.017717833,The Impressions,Keep On Pushing,1964,1556196,2033,56679,55,chicago soul,chicago soul,0.066144415,r&b
64,6.425711417,The Hollies,Carrie Ann,1967,5012889,5157,203930,67,"power pop, pop rock","power pop, pop rock",0.060354445,popRock
24,12.27610461,The Rolling Stones,Ruby Tuesday,1967,16841668,13624,3253295,84,baroque pop,baroque pop,0.059242597,pop
66,6.296526022,The T-Bones,No Matter What Shape (Your Stomach Is In),1966,108083,480,188,16,"pop, instrumental rock","pop, instrumental rock",0.0580372,instrumental
98,4.850547815,The Ad Libs,The Boy from New York City,1965,187728,274,472,25,soul,soul,0.056694164,r&b
2,63.2878297,The Association,Cherish,1966,1293933,3791,31514,50,pop,pop,0.050141905,pop
75,5.787081068,Peter and Gordon,I Go to Pieces,1965,806850,951,12316,44,merseybeat,merseybeat,0.043777981,beat
12,19.39725958,The Angels,My Boyfriend's Back,1963,1872402,812,105506,58,pop,pop,0.042377545,pop
65,6.360293906,Blue Magoos,(We Ain't Got) Nothin' Yet,1967,637843,846,4595,40,"garage rock, proto-punk, psychedelic rock","garage rock, proto-punk, psychedelic rock",0.038357288,rock
42,8.485070759,Barbara George,I Know (You Don't Love Me No More),1962,84117,338,322,19,r&b,r&b,0.037245832,r&b
31,10.36815025,Jimmy Jones,Good Timin',1960,616177,461,1585,48,r&b,r&b,0.029915645,r&b
66,6.296526022,"Sonny Charles and The Checkmates, Ltd.",Black Pearl,1969,145877,229,84,16,,,0.02782414,r&b
69,6.114481004,Johnny Crawford,Cindy's Birthday,1962,97730,1048,726,22,,,0.022210678,easyListening
88,5.207645782,The Vogues,Five O'clock World,1966,667476,1079,7737,41,rock,rock,0.02136261,rock
65,6.360293906,Sir Douglas Quintet,She's About a Mover,1965,438412,1932,4429,38,"garage rock, tex-mex","garage rock, tex-mex",0.021018818,rock
47,7.877989793,Horst Jankowski,A Walk in the Black Forest,1965,266055,500,942,31,,,0.018951987,easyListening
58,6.857053284,Joey Dee and The Starliters,Shout,1962,205105,1048,736,33,,,0.017842261,folkORfunk
12,19.39725958,O.C. Smith,Little Green Apples,1968,231486,760,773,25,"r&b, soul","r&b, soul",0.016802473,folkORfunk
61,6.632577127,The Little Dippers,Forever,1960,40043,193,38,12,easy listening,easy listening,0.015536656,easyListening
14,17.52086311,Jack Scott,What In The World's Come Over You,1960,192575,551,2761,34,,,0.012642696,rockabilly
96,4.917008807,The Who,I Can See For Miles,1967,8118783,11121,1163520,75,"power pop psychedelic rock, hard rock","power pop psychedelic rock, hard rock",0.009939642,popRock
49,7.664266318,The Doors,Touch Me,1969,12795349,8577,1978221,78,pop,pop,0.008430185,pop
75,5.787081068,Aretha Franklin,I Never Loved A Man (The Way I Love You),1967,8221365,4631,857587,75,"southern soul, r&b","southern soul, r&b",0.008222087,folkORfunk
72,5.945119004,David Houston,Almost Persuaded,1966,245192,583,1999,27,country,country,-0.000729557,country
9,23.45308318,Elvis Presley,Stuck On You,1960,6695034,19546,1736017,83,"rock and roll, rhythm and blues","rock and roll, r&b",-0.005133626,folkORfunk
70,6.056689273,The Searchers,Love Potion No. 9,1965,1063350,3308,35327,50,rock and roll,rock and roll,-0.006559064,rock
82,5.456106733,Marvin Gaye and Tammi Terrell,You're All I Need To Get By,1968,12177190,365,1503529,77,"rhythm and blues, soul","r&b, soul",-0.006888536,folkORfunk
88,5.207645782,Sam Cooke,Another Saturday Night,1963,5407127,2898,471335,74,"r&b, soul","r&b, soul",-0.009449879,folkORfunk
6,30.6492728,Brenda Lee,I'm Sorry,1960,3366175,2547,56596,72,"pop, country","pop, country",-0.013298407,country
44,8.228510611,The Shirelles,Baby It's You,1962,1378449,2186,51834,59,,,-0.014235391,r&b
88,5.207645782,Floyd Cramer,San Antonio Rose,1961,312830,964,5198,40,,,-0.016270135,instrumental
40,8.762749681,The 5th Dimension,Wedding Bell Blues,1969,1904448,2394,33627,53,pop,pop,-0.019281522,pop
100,4.786300923,Marvin Gaye,How Sweet It Is (To Be Loved by You),1965,8752988,7086,1499687,78,"soul, pop rock","soul, pop rock",-0.027585435,pop
86,5.287264321,Neil Diamond,"Girl, You'll Be A Woman Soon",1967,6127648,5853,333588,71,pop,pop,-0.028536785,pop
19,14.32262507,Herman's Hermits,"Mrs. Brown, You've Got a Lovely Daughter",1965,1534981,2048,64508,55,"beat, pop","beat, pop",-0.040778264,beat
8,25.34898699,Jimmy Jones,Handy Man,1960,564091,461,1585,48,rock and roll,rock and roll,-0.058403029,rock
78,5.63920084,The Turtles,She'd Rather Be With Me,1967,3297320,2031,109592,63,sunshine pop,sunshine pop,-0.060492569,sunshinePop
58,6.857053284,Robert Parker,Barefootin',1966,711657,215,4077,43,r&b,r&b,-0.063850705,r&b
48,7.769280177,Jan and Dean,The Little Old Lady from Pasadena,1964,573042,4719,11325,45,car song,car song,-0.065113718,rock
63,6.49284802,Gene Pitney,(The Man Who Shot) Liberty Valance,1962,782084,2010,31050,51,,,-0.067068013,country
16,16.04282372,The Beatles,We Can Work It Out,1966,20400983,14112,5042014,89,folk rock,folk rock,-0.068331807,rock
56,7.017717833,The Beau Brummels,Just a Little,1965,362180,2880,7345,36,"garage rock, folk rock","garage rock, folk rock",-0.069476499,rock
47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,33627,53,"r&b, pop, soul, sunshine pop, psychedelic soul","r&b, pop, soul, sunshine pop, psychedelic soul",-0.076648549,sunshinePop
46,7.990608098,Jackie DeShannon,Put A Little Love In Your Heart,1969,1167284,2242,8331,47,pop,pop,-0.080976349,pop
31,10.36815025,Gary U.S. Bonds,Quarter To Three,1961,202618,753,3184,35,doo-wop,doo-wop,-0.108314966,folkORfunk
34,9.754924552,Ketty Lester,Love Letters,1962,156761,768,1217,30,,,-0.108569496,r&b
84,5.370017132,The Sweet Inspirations,Sweet Inspiration,1968,289757,1471,1533,29,,,-0.118640469,folkORfunk
29,10.83471074,Georgie Fame,The Ballad Of Bonnie And Clyde,1968,587910,2126,4887,39,rhythm and blues,r&b,-0.125695925,folkORfunk
45,8.107365283,Johnny Preston,Cradle Of Love,1960,232921,444,2592,38,rock and roll,rock and roll,-0.133661701,rock
71,6.000251993,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517,19546,1736017,83,"rock and roll, pop","rock and roll, pop",-0.14243013,pop
23,12.62582101,Paul Anka,Puppy Love,1960,1666967,2526,99369,65,pop,pop,-0.144116634,pop
62,6.561777272,Carla Thomas,Gee Whiz (Look At His Eyes),1961,833523,1161,13292,57,,,-0.149018668,folkORfunk
28,11.08857401,Jan and Dean,Dead Man's Curve,1964,524590,4719,11325,45,"pop, teenage tragedy, car song","pop, teenage tragedy, car song",-0.153455725,pop
41,8.621099442,Shep and The Limelites,Daddy's Home,1961,45157,511,281,15,r&b,r&b,-0.160131714,r&b
85,5.328236693,Joe Tex,Hold What You've Got,1965,167060,2114,5943,25,rhythm and blues,r&b,-0.160700978,r&b
40,8.762749681,Troggs,Love Is All Around,1968,1806273,1786,54219,53,rock,rock,-0.16848725,rock
93,5.021127552,Gary Lewis and The Playboys,She's Just My Style,1966,669385,972,18387,43,"pop rock, surf","pop rock, surf",-0.169620677,popRock
51,7.4645509,The Corsairs,Smoky Places,1962,38068,240,113,11,,,-0.1700369,folkORfunk
46,7.990608098,Ed Ames,My Cup Runneth Over,1967,228773,1411,1487,29,traditional pop,traditional pop,-0.171617856,traditionalPop
53,7.277428145,Johnny Rivers,Secret Agent Man,1966,1021520,1516,32071,48,rock and roll,rock and roll,-0.17380359,rock
32,10.15315495,Stevie Wonder,My Cherie Amour,1969,15409195,4980,1821274,81,"soul, pop","soul, pop",-0.173965952,pop
58,6.857053284,Diane Renay,Navy Blue,1964,62333,527,250,15,"pop, mor","pop, mor",-0.179540644,pop
100,4.786300923,Jerry Butler,Never Give You Up,1968,1210714,982,27391,47,,,-0.180196216,folkORfunk
39,8.910403258,Steve Lawrence,Pretty Blue Eyes,1960,201888,1304,5202,35,pop music,pop music,-0.182373243,pop
14,17.52086311,Stevie Wonder,I Was Made To Love Her,1967,11938162,4980,1821274,81,soul,soul,-0.186217574,r&b
22,13.00172664,The Temptations,I Wish It Would Rain,1968,7228337,9521,663199,73,soul blues,soul blues,-0.191254318,r&b
88,5.207645782,Dionne Warwick,Do You Know The Way To San Jose,1968,3349983,7251,158688,63,"soul, pop","soul, pop",-0.192088732,pop
38,9.064478563,Ferlin Husky,Wings Of A Dove,1961,259282,1059,8417,39,country,country,-0.193816585,country
82,5.456106733,Lloyd Price,Lady Luck,1960,447560,1034,12972,46,,,-0.201450493,r&b
79,5.59198657,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),1961,203528,2450,7574,36,"skiffle, novelty song","skiffle, novelty song",-0.205776111,instrumental
72,5.945119004,Fats Domino,Walking To New Orleans,1960,1725415,3431,111029,65,,,-0.215983725,r&b
49,7.664266318,Gerry and the Pacemakers,Don't Let the Sun Catch You Crying,1964,1030679,954,37416,52,"merseybeat, pop","merseybeat, pop",-0.217040667,beat
82,5.456106733,Peter and Gordon,True Love Ways,1965,612139,951,12316,44,,,-0.232400415,pop
99,4.818155049,The Yardbirds,Shapes Of Things,1966,1884000,5123,163619,59,psychedelic rock,psychedelic rock,-0.232766417,rock
63,6.49284802,The Dave Clark Five,Because,1964,233636,1911,18351,30,pop rock,pop rock,-0.237482854,popRock
41,8.621099442,Johnny Rivers,Memphis,1964,743377,1516,32071,48,,,-0.23969924,rockabilly
95,4.951108236,The Beatles,I Saw Her Standing There,1964,13477850,14112,5042014,89,rock and roll,rock and roll,-0.246679173,rock
90,5.130975533,Dee Dee Sharp,Gravy (For My Mashed Potatoes),1962,251344,557,4587,38,,,-0.252828984,r&b
77,5.687430745,Patty Duke,Don't Just Stand There,1965,60509,2413,306,15,,,-0.254383242,pop
33,9.949031357,Sue Thompson,Norman,1962,206139,547,2313,36,,,-0.255733972,country
75,5.787081068,Jimmy Clanton,Venus In Blue Jeans,1962,143310,565,1521,29,,,-0.260046949,pop
83,5.412631479,Roger Miller,Dang Me,1964,1148328,3536,36057,57,country,country,-0.262660271,country
50,7.562750921,The Moody Blues,Go Now,1965,2173609,8184,190442,64,,,-0.266129998,beat
87,5.247075258,Billy Joe and The Checkmates,Percolator (Twist),1962,21213,818,22,7,,,-0.268503927,pop
13,18.39913422,Roy Orbison,Running Scared,1961,2391967,8655,303004,71,bolero,bolero,-0.280176049,easyListening
11,20.54380234,The Beach Boys,"Help Me, Rhonda",1965,5635326,15103,916992,77,rock and roll,rock and roll,-0.283130523,rock
25,11.94977132,The Four Seasons,Dawn (Go Away),1964,2451009,4256,157449,67,rock,rock,-0.286635855,rock
40,8.762749681,Freddie Cannon,Way Down Yonder In New Orleans,1960,190729,1289,4208,36,,,-0.288555647,pop
15,16.74093727,Bobby Vee and The Strangers,Come Back When You Grow Up,1967,290138,1614,35201,30,pop rock,pop rock,-0.294313805,popRock
74,5.838577711,Ned Miller,From a Jack to a King,1963,133653,400,753,29,country,country,-0.29510802,country
51,7.4645509,The Buckinghams,"Mercy, Mercy, Mercy",1967,418148,2064,10626,38,"sunshine pop, pop rock","sunshine pop, pop rock",-0.296419099,sunshinePop
42,8.485070759,Troy Shondell,This Time,1961,28820,793,186,11,,,-0.303461135,rock
24,12.27610461,Frankie Avalon,Why,1960,378916,2080,20543,48,pop,pop,-0.305645333,pop
28,11.08857401,The Beatles,Paperback Writer,1966,16062776,14112,5042014,89,"hard rock, power pop, psychedelic rock","hard rock, power pop, psychedelic rock",-0.307410348,rock
81,5.500471104,Walter Brennan,Old Rivers,1962,64810,1896,499,22,country,country,-0.313161448,country
97,4.883493965,David Ruffin,My Whole World Ended (The Moment You Left Me),1969,1161397,3665,40793,48,soul,soul,-0.316041865,r&b
49,7.664266318,Major Lance,The Monkey Time,1963,455979,1416,5592,47,,,-0.31768081,pop
59,6.780124557,Aretha Franklin,Baby I Love You,1967,5884570,4631,857587,75,soul,soul,-0.326180496,r&b
7,27.68441135,Sly and The Family Stone,Hot Fun In The Summertime,1969,3603866,4729,215459,66,"psychedelic soul, folkORfunk","psychedelic soul, folkORfunk",-0.331541865,folkORfunk
12,19.39725958,Al Hirt,Java,1964,362090,961,5403,41,jazz,jazz,-0.333501264,jazz
93,5.021127552,Sunny and the Sunglows,Talk to Me,1963,58419,334,270,18,,,-0.334787298,easyListening
61,6.632577127,Gary Lewis and The Playboys,Count Me In,1965,504105,972,18387,43,,,-0.335540867,popRock
15,16.74093727,The Tymes,So Much In Love,1963,217721,438,2033,36,doo-wop,doo-wop,-0.347370768,r&b
87,5.247075258,The Beau Brummels,"Laugh, Laugh",1965,272624,2880,7345,36,"garage rock, folk rock, pop rock","garage rock, folk rock, pop rock",-0.353524268,rock
52,7.369496097,Sam Cooke,Having A Party,1962,3377142,2898,471335,74,"rhythm and blues, soul","r&b, soul",-0.360246202,r&b
59,6.780124557,Bobby Vee,Devil Or Angel,1960,717957,1614,35092,55,,,-0.38011046,pop
59,6.780124557,Glen Campbell,Galveston,1969,3354111,3633,85337,65,country pop,country pop,-0.388241855,country
79,5.59198657,Gary Puckett and The Union Gap,"Woman, Woman",1968,1062775,1275,28054,51,pop,pop,-0.389439206,pop
34,9.754924552,Gary Puckett and The Union Gap,Lady Willpower,1968,1062719,1275,28054,51,pop,pop,-0.3894919,pop
59,6.780124557,The Bachelors,Diane,1964,228483,1206,5613,35,,,-0.425098771,pop
91,5.093692001,Steve Lawrence,Go Away Little Girl,1963,208416,1304,5202,35,pop,pop,-0.428113484,pop
35,9.570069478,Jack Scott,Burning Bridges,1960,123257,551,2761,34,,,-0.433571385,rockabilly
42,8.485070759,The Outsiders,Time Won't Let Me,1966,206922,2291,2036,32,garage rock,garage rock,-0.437726966,rock
72,5.945119004,Tommy Boyce and Bobby Hart,I Wonder What She's Doing Tonight,1968,185132,1543,329,30,pop rock,pop rock,-0.438982083,popRock
59,6.780124557,Pat Boone,Moody River,1961,376361,4138,31398,48,country pop,country pop,-0.443232968,country
21,13.40711287,Dion and The Belmonts,Where Or When,1960,799005,1659,39253,59,doo-wop,doo-wop,-0.444429883,r&b
85,5.328236693,Shades Of Blue,Oh How Happy,1966,98161,245,172,22,soul,soul,-0.44761305,r&b
71,6.000251993,Dionne Warwick,Anyone Who Had a Heart,1964,1556585,7251,158688,63,"soul, pop","soul, pop",-0.454653635,pop
53,7.277428145,Donovan,Atlantis,1969,2640311,6108,128894,62,,,-0.456330181,folkORfunk
17,15.41358678,Ferrante and Teicher,Exodus,1961,338866,1231,3636,46,,,-0.457797642,instrumental
3,48.42838339,The Righteous Brothers,(You're My) Soul and Inspiration,1966,2009018,2658,86133,64,"pop, rock and roll, blue-eyed soul","pop, rock and roll, blue-eyed soul",-0.458692599,pop
69,6.114481004,Steve Lawrence,Footsteps,1960,152385,1304,5202,35,traditional pop music,traditional pop music,-0.463676118,traditionalPop
82,5.456106733,Bob Dylan,Rainy Day Women #12 And 35,1966,6042926,16836,1819059,79,"blues rock, jazz","blues rock, jazz",-0.466559428,jazz
57,6.936215781,Marvin Gaye and Tammi Terrell,Ain't Nothing Like The Real Thing,1968,7685617,365,1503529,77,"soul, pop","soul, pop",-0.467102405,pop
85,5.328236693,Nancy Wilson,(You Don't Know) How Glad I Am,1964,857873,8448,39169,57,easy listening,easy listening,-0.477644365,easyListening
93,5.021127552,Jumpin' Gene Simmons,Haunted House,1964,35112,321,131,11,,,-0.482823482,rockabilly
20,13.84586851,Elvis Presley,Good Luck Charm,1962,5263250,19546,1736017,83,"pop rock, rock and roll","pop rock, rock and roll",-0.485534546,popRock
81,5.500471104,The Supremes,My World Is Empty Without You,1966,3451648,5042,388007,70,"baroque pop, soul","baroque pop, soul",-0.488735497,pop
76,5.736711756,The Tams,What Kind of Fool (Do You Think I Am),1964,205186,706,2956,35,r&b,r&b,-0.492854359,r&b
74,5.838577711,Brooklyn Bridge,Worst That Could Happen,1969,161106,1487,753,25,"rock, pop rock","rock, pop rock",-0.494890742,popRock
56,7.017717833,Ral Donner,You Don't Know What You've Got (Until You Lose It),1961,45016,411,589,19,,,-0.495356877,rock
41,8.621099442,The Supremes,Reflections,1967,3884474,5042,388007,70,"psychedelic pop, psychedelic soul","psychedelic pop, psychedelic soul",-0.496573725,pop
51,7.4645509,Elvis Presley,Surrender,1961,4599587,19546,1736017,83,pop,pop,-0.500424951,pop
52,7.369496097,Jose Feliciano,Light My Fire,1968,3833410,3275,78769,71,soft rock,soft rock,-0.503130397,rock
50,7.562750921,Herman's Hermits,There's A Kind Of Hush,1967,1212867,2048,64508,55,baroque pop,baroque pop,-0.51161851,pop
99,4.818155049,Del Shannon,Keep Searchin' (We'll Follow the Sun),1965,865291,2195,40589,53,rock and roll,rock and roll,-0.518394437,rock
73,5.891242669,The Turtles,It Ain't Me Babe,1965,1644953,2031,109592,63,,,-0.520581553,folkORfunk
76,5.736711756,Neil Sedaka,Stairway To Heaven,1960,780214,7962,68157,59,pop,pop,-0.525265526,pop
66,6.296526022,The New Christy Minstrels,Today,1964,158773,2148,3199,33,,,-0.530369873,folkORfunk
52,7.369496097,Bobby Vinton,Blue on Blue,1963,862958,1732,40275,58,traditional pop,traditional pop,-0.531162072,traditionalPop
92,5.057082445,Slim Harpo,Baby Scratch My Back,1966,387232,1856,13501,41,rhythm and blues,r&b,-0.541656112,r&b
87,5.247075258,The Searchers,Don't Throw Your Love Away,1964,552635,3308,35327,50,merseybeat,merseybeat,-0.543386287,beat
37,9.225435188,The Supremes,Back in My Arms Again,1965,2866058,5042,388007,70,"pop, r&b","pop, r&b",-0.548675716,pop
44,8.228510611,Betty Everett,The Shoop Shoop Song (It's in His Kiss),1964,283977,1249,5705,41,"r&b, soul, pop","r&b, soul, pop",-0.557778195,pop
36,9.393779234,Toni Fisher,The Big Hurt,1960,23972,339,129,12,,,-0.565968019,pop
89,5.168953147,The Tremeloes,Here Comes My Baby,1967,645472,1669,22983,48,beat,beat,-0.566425803,beat
58,6.857053284,The Lettermen,The Way You Look Tonight,1961,265415,1932,15746,45,"pop, jazz","pop, jazz",-0.571292239,pop
63,6.49284802,The Fireballs,Bottle Of Wine,1968,239392,673,1591,32,,,-0.578779508,rock
54,7.188199443,Bobby Rydell,Volare,1960,221099,1069,11311,44,,,-0.579593719,traditionalPop
48,7.769280177,Ron Holden,Love You So,1960,27102,391,79,15,,,-0.593125337,pop
63,6.49284802,Booker T. and The M.G.'s,Time Is Tight,1969,1830732,3484,62586,59,soul,soul,-0.611242636,r&b
20,13.84586851,Jr. Walker and The All Stars,What Does It Take (To Win Your Love),1969,1749455,1102,33500,58,soul,soul,-0.620523568,r&b
12,19.39725958,Bobby Rydell,Wild One,1960,211513,1069,11311,44,rock and roll,rock and roll,-0.623917822,rock
82,5.456106733,Four Tops,Bernadette,1967,2636926,3598,221819,68,"soul, pop","soul, pop",-0.625793095,pop
60,6.705330284,The Kinks,Tired of Waiting for You,1965,2941290,9987,568539,72,rock,rock,-0.626403478,rock
93,5.021127552,Guy Mitchell,Heartaches By The Number,1960,243434,604,5420,44,country,country,-0.637060474,country
65,6.360293906,Roy Orbison,Dream Baby (How Long Must I Dream),1962,1882078,8655,303004,71,,,-0.639807388,pop
32,10.15315495,The Serendipity Singers,Don't Let the Rain Come Down (Crooked Little Man),1964,32585,2064,641,12,"folk, calypso","folk, calypso",-0.651920989,folkORfunk
89,5.168953147,Crazy Elephant,Gimme Gimme Good Lovin',1969,134693,271,412,23,,,-0.654514916,pop
3,48.42838339,Louis Armstrong,"Hello, Dolly!",1964,3378654,9606,928788,76,"traditional pop, jazz","traditional pop, jazz",-0.660286157,traditionalPop
36,9.393779234,Petula Clark,I Know a Place,1965,659236,4478,44484,53,pop,pop,-0.673388488,pop
57,6.936215781,The Lovin' Spoonful,Did You Ever Have to Make Up Your Mind?,1966,1096472,2804,75144,58,folk rock,folk rock,-0.67514165,rock
70,6.056689273,The Everly Brothers,So Sad,1960,804269,4114,120725,63,pop,pop,-0.676134383,pop
53,7.277428145,Glenn Yarbrough,Baby the Rain Must Fall,1965,115695,748,2076,28,,,-0.679107432,folkORfunk
35,9.570069478,Shirley Ellis,The Name Game,1965,206470,392,3155,36,"r&b, novelty","r&b, novelty",-0.680171903,instrumental
37,9.225435188,Duane Eddy,Because They're Young,1960,293238,1636,16533,47,,,-0.684252852,instrumental
90,5.130975533,The Beatles,Nowhere Man,1966,11017023,14112,5042014,89,folk rock,folk rock,-0.684473271,rock
22,13.00172664,The Rockin' Rebels,Wild Weekend,1963,34191,347,90,17,,,-0.685474347,instrumental
