Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,GenreClean,TarPre,GenreClean2
89,5.168953147,The Lovin' Spoonful,Do You Believe in Magic,1965,13364245,2804,75144,58,"folk rock, sunshine pop","folk rock, sunshine pop",1.942998064,sunshinePop
73,5.891242669,Harry Nilsson,Everybody's Talkin',1969,28984946,5091,84021,63,soft rock,soft rock,1.927757742,rock
2,63.2878297,The Beach Boys,Surfin' U.S.A.,1963,40283487,15103,916992,77,"surf rock, rock and roll","surf rock, rock and roll",1.926728738,rock
62,6.561777272,Steppenwolf,Magic Carpet Ride,1968,42602063,2515,244737,68,"acid rock, psychedelic rock, hard rock","acid rock, psychedelic rock, hard rock",1.926346423,rock
69,6.114481004,The Yardbirds,Heart Full of Soul,1965,14356985,5123,163619,59,raga rock,raga rock,1.915727601,rock
60,6.705330284,The Marketts,Out of Limits,1964,3076822,390,3121,39,surf rock,surf rock,1.912177842,rock
1,100,Percy Faith,"Theme From ""A Summer Place""",1960,5001152,1180,9877,52,easy listening,easy listening,1.901440127,easyListening
86,5.287264321,Jimmy Dean,Big Bad John,1961,2739818,1804,13340,43,"country, pop","country, pop",1.897999195,country
24,12.27610461,The Troggs,Wild Thing,1966,10680673,1786,54219,53,"garage rock, hard rock, proto-punk","garage rock, hard rock, proto-punk",1.89532517,rock
25,11.94977132,The Ventures,"Walk, Don't Run",1960,4127116,2678,43237,51,"rock, surf rock","rock, surf rock",1.873135245,rock
78,5.63920084,Kenny Rogers and The First Edition,"Ruby, Don't Take Your Love To Town",1969,6029763,5172,4793,44,"country, pop","country, pop",1.868246242,country
24,12.27610461,Creedence Clearwater Revival,Bad Moon Rising,1969,115917311,4802,1379818,81,"roots rock, swamp rock, country rock","roots rock, swamp rock, country rock",1.868098198,rock
76,5.736711756,Rosie and The Originals,Angel Baby,1961,3204938,827,8737,47,doo-wop,doo-wop,1.826787137,r&b
95,4.951108236,Bobby Fuller Four,I Fought The Law,1966,5019487,1299,4617,45,garage rock,garage rock,1.826386487,rock
39,8.910403258,The Crazy World Of Arthur Brown,Fire,1968,2590197,759,2540,31,,psychedelic,1.820428255,rock
26,11.64441273,The Drifters,Save The Last Dance For Me,1960,11458687,4140,113446,65,"r&b, pop","r&b, pop",1.819209153,r&b
15,16.74093727,Marty Robbins,El Paso,1960,8663683,1930,73354,61,"country, tex-mex","country, tex-mex",1.800981302,country
20,13.84586851,The Supremes,Stop! In the Name of Love,1965,29765413,5042,388007,70,"pop, r&b, soul","pop, r&b, soul",1.791733799,r&b
29,10.83471074,Lesley Gore,It's My Party,1963,6895751,1458,27747,54,"pop, rock, blue-eyed soul","pop, rock, blue-eyed soul",1.787475165,r&b
2,63.2878297,The 5th Dimension,Aquarius / Let The Sunshine In,1969,11308691,2394,33627,53,"psychedelic soul, sunshine pop","psychedelic soul, sunshine pop",1.762097821,sunshinePop
68,6.173680038,Martha and The Vandellas,Nowhere to Run,1965,14919498,2807,77397,62,,,1.760191244,r&b
6,30.6492728,Bobby Vinton,Blue Velvet,1963,8522784,1732,40275,58,traditional pop,traditional pop,1.758970232,traditionalPop
6,30.6492728,Petula Clark,Downtown,1965,7403339,4478,44484,53,soul,soul,1.745216317,r&b
34,9.754924552,The Rooftop Singers,Walk Right In,1963,1048770,428,961,29,"folk, bluegrass","folk, bluegrass",1.743779527,folkORfunk
29,10.83471074,Sam Cooke,Chain Gang,1960,21685399,2898,471335,74,"rhythm and blues, soul","r&b, soul",1.739146754,r&b
20,13.84586851,Roy Orbison,Only The Lonely,1960,15956833,8655,303004,71,"pop, rock 'n' roll","pop, rock and roll",1.737486834,rock
63,6.49284802,Jackie DeShannon,What the World Needs Now Is Love,1965,4468238,2242,8331,47,"folk rock, jazz, soul","folk rock, jazz, soul",1.731956557,r&b
34,9.754924552,Chris Kenner,I Like It Like That,1961,739901,391,797,28,,,1.729930414,r&b
93,5.021127552,Edwin Hawkins Singers,Oh Happy Day,1969,4019864,785,2232,38,gospel,gospel,1.728201466,r&b
43,8.35431448,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381,553,3594,39,"r&b, swamp pop, country","r&b, swamp pop, country",1.719658697,r&b
5,34.56844127,The Beach Boys,I Get Around,1964,36498083,15103,916992,77,"california sound, pop, surf vocal, car song","california sound, pop, surf vocal, car song",1.70656053,pop
