				playcount	new_rank
92	"Robert Maxwell, His Harp and Orch."	Shangri-La	1964	19219	
93	Gene Simmons	Haunted Houses	1964	35112	
94	Jimmy Hughes	Steal Away	1964	776473	
95	Beatles	I Saw Her Standing There	1964	13477850	
96	Andy Williams	A Fool Never Learns	1964	137312	
97	Billy J. Kramer and The Dakotas	Bad To Me	1964	1302962	
98	Bobby Vinton	There! I've Said It Again	1964	526233	
99	Kingsmen	Louie Louie	1964	28476446	
100	Searchers	Needles And Pins	1964	3843254	
1	Sam The Sham and The Pharaohs	Wooly Bully	1965	3020229	
2	Four Tops	I Can't Help Myself (Sugar Pie Honey Bunch)	1965	67571740	
3	Rolling Stones	(I Can't Get No) Satisfaction	1965	120360439	
4	We Five	You Were On My Mind	1965	460827	
5	Righteous Brothers	You've Lost That Lovin' Feelin'	1965	20772397	
6	Petula Clark	Downtown	1965	7403339	
7	Beatles	Help!	1965	37599801	
8	Herman's Hermits	Can't You Hear My Heartbeat	1965	594503	
9	Elvis Presley	Crying In The Chapel	1965	4109700	
10	Temptations	My Girl	1965	150297031	
11	Beach Boys	"Help Me, Rhonda"	1965	5635326	
12	Roger Miller	King Of The Road	1965	7828198	
13	Jewel Aikens	The Birds And The Bees	1965	502507	
14	Mel Carter	"Hold Me, Thrill Me, Kiss Me"	1965	1339521	
15	Jr. Walker and The All Stars	Shotgun	1965	14223043	
16	Sonny and Cher	I Got You Babe	1965	21819443	
17	Gary Lewis and The Playboys	This Diamond Ring	1965	1396838	
18	Ramsey Lewis Trio	"The ""In"" Crowd"	1965	1439252	
19	Herman's Hermits	Mrs. Brown You've Got A Lovely Daughter	1965	1534981	
20	Supremes	Stop! In The Name Of Love	1965	29765413	
21	Righteous Brothers	Unchained Melody	1965	64041107	
22	Herman's Hermits	Silhouettes	1965	753474	
23	Seekers	I'll Never Find Another You	1965	2598494	
24	Jay and The Americans	"Cara, Mia"	1965	801564	
25	Byrds	Mr. Tambourine Man	1965	22318155	
26	Sounds Orchestral	Cast Your Fate To The Wind	1965	183364	
27	Barbara Mason	"Yes, I'm Ready"	1965	1808097	
28	Tom Jones	What's New Pussycat?	1965	4493083	
29	Barry McGuire	Eve Of Destruction	1965	7190164	
30	McCoys	Hang On Sloopy	1965	5522188	
31	Beatles	Ticket To Ride	1965	37599801	
32	Bert Kaempfert and His Orch.	Red Roses For A Blue Lady	1965	293898	
33	James Brown and The Famous Flames	Papa's Got A Brand New Bag	1965	22403335	
34	Wayne Fontana and The Mindbenders	Game Of Love	1965	1630980	
35	Shirley Ellis	The Name Game	1965	206470	
36	Petula Clark	I Know A Place	1965	659236	
37	Supremes	Back In My Arms Again	1965	2866058	
38	Barbara Lewis	Baby I'm Yours	1965	1960486	
39	Kingsmen	The Jolly Green Giant	1965	89146	
40	Patti Page	"Hush, Hush, Sweet Charlotte"	1965	116241	
41	Bob Dylan	Like A Rolling Stone	1965	86632146	
42	Freddie and The Dreamers	I'm Telling You Now	1965	576239	
43	Gerry and The Pacemakers	Ferry Cross The Mersey	1965	3617809	
44	Righteous Brothers	Just Once In My Life	1965	541580	
45	Johnny Rivers	Seventh Son	1965	92259	
46	Herman's Hermits	"I'm Henry VIII, I Am"	1965	258929	
47	Horst Jankowski	A Walk In The Black Forest	1965	266055	
48	Yardbirds	For Your Love	1965	8967649	
49	Beach Boys	California Girls	1965	15339865	
50	Moody Blues	Go Now	1965	2173609	
51	Shirley Bassey	Goldfinger	1965	7846673	
52	Billy Joe Royal	Down In The Boondocks	1965	797177	
53	Glenn Yarbrough	Baby The Rain Must Fall	1965	115695	
54	Dave Clark Five	Catch Us If You Can	1965	NaN	
55	Beatles	Eight Days A Week	1965	22286205	
56	Beau Brummels	Just A Little	1965	362180	
57	Ian Whitcomb	You Turn Me On	1965	25158	
58	Marvin Gaye	I'll Be Doggone	1965	1581041	
59	Gary Lewis and The Playboys	Save Your Heart For Me	1965	214032	
60	Kinks	Tired Of Waiting For You	1965	2941290	
