Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Grammy,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
88,5.207645782,Sam Cooke,Another Saturday Night,1963,5407127,2898,471335,74,0,folkORfunk,0,0,0,1,0,0,0,0,0,0,0,0,0
66,6.296526022,Sam Cooke,Shake,1965,608036,2898,471335,74,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
32,10.15315495,Bobby Darin,Beyond The Sea,1960,25328489,3068,99662,65,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
99,4.818155049,Bobby Darin,You Must Have Been A Beautiful Baby,1961,318504,3068,99662,65,0,rockabilly,0,0,0,0,0,0,0,0,0,0,1,0,0
62,6.561777272,Bobby Darin,Things,1962,800658,3068,99662,65,0,popRock,0,0,0,0,0,0,0,1,0,0,0,0,0
23,12.62582101,Bobby Darin,You're The Reason I'm Living,1963,30498,3068,99662,65,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
73,5.891242669,Bobby Darin,If I Were A Carpenter,1966,787790,3068,99662,65,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
33,9.949031357,Jimmy Clanton,Go Jimmy Go,1960,37469,565,1521,29,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
75,5.787081068,Jimmy Clanton,Venus In Blue Jeans,1962,143310,565,1521,29,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
34,9.754924552,Jackie Wilson,Night,1960,81660,4544,95994,64,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
95,4.951108236,Jackie Wilson,Doggin' Around,1960,449692,4544,95994,64,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
71,6.000251993,Jackie Wilson,Baby Workout,1963,563065,4544,95994,64,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
53,7.277428145,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967,47272819,4544,95994,64,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
36,9.393779234,Toni Fisher,The Big Hurt,1960,23972,339,129,12,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
37,9.225435188,Duane Eddy,Because They're Young,1960,293238,1636,16533,47,0,instrumental,0,0,0,0,1,0,0,0,0,0,0,0,0
38,9.064478563,Conway Twitty,Lonely Blue Boy,1960,756676,3103,152800,62,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
39,8.910403258,Steve Lawrence,Pretty Blue Eyes,1960,201888,1304,5202,35,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
69,6.114481004,Steve Lawrence,Footsteps,1960,152385,1304,5202,35,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
30,10.59497587,Steve Lawrence,Portrait Of My Love,1961,61982,1304,5202,35,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
91,5.093692001,Steve Lawrence,Go Away Little Girl,1963,208416,1304,5202,35,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
40,8.762749681,Freddie Cannon,Way Down Yonder In New Orleans,1960,190729,1289,4208,36,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
94,4.985808764,Anita Bryant,In My Little Corner Of The World,1960,15789,2741,474,21,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
42,8.485070759,Larry Verne,Mr. Custer,1960,154240,163,174,14,0,instrumental,0,0,0,0,1,0,0,0,0,0,0,0,0
44,8.228510611,Fendermen,Mule Skinner Blues,1960,257280,230,475,21,0,jazz,0,0,0,0,0,1,0,0,0,0,0,0,0
46,7.990608098,Marv Johnson,You've Got What It Takes,1960,53493,1131,4260,27,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
65,6.360293906,Marv Johnson,I Love The Way You Love,1960,27503,1131,4260,27,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
47,7.877989793,Hank Locklin,"Please Help Me, I'm Falling",1960,1127831,601,8477,45,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
48,7.769280177,Ron Holden,Love You So,1960,27102,391,79,15,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
49,7.664266318,Hank Ballard and The Midnighters,Finger Poppin' Time,1960,354730,825,802,24,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
50,7.562750921,Platters,Harbor Lights,1960,787854,2324,121510,66,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
51,7.4645509,Billy Bland,Let The Little Girl Dance,1960,11473647,265,210,14,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
52,7.369496097,Jeanne Black,He'll Have To Stay,1960,45318,234,31,8,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
53,7.277428145,Ferrante and Teicher,Theme From The Apartment,1960,131144,1231,3636,46,0,instrumental,0,0,0,0,1,0,0,0,0,0,0,0,0
17,15.41358678,Ferrante and Teicher,Exodus,1961,338866,1231,3636,46,0,instrumental,0,0,0,0,1,0,0,0,0,0,0,0,0
55,7.101672245,Jimmy Charles,A Million To One,1960,57306,334,124,15,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
56,7.017717833,Andy Williams,The Village Of St. Bernadette,1960,83052,3980,94409,75,0,traditionalPop,0,0,0,0,0,0,0,0,0,0,0,0,1
11,20.54380234,Andy Williams,Can't Get Used To Losing You,1963,2633306,3980,94409,75,0,easyListening,0,0,1,0,0,0,0,0,0,0,0,0,0
96,4.917008807,Andy Williams,A Fool Never Learns,1964,137312,3980,94409,75,0,easyListening,0,0,1,0,0,0,0,0,0,0,0,0,0
57,6.936215781,The Browns,The Old Lamplighter,1960,62470,707,1592,31,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
58,6.857053284,Bill Black's Combo,White Silver Sands,1960,30065,2017,108,5,0,jazz,0,0,0,0,0,1,0,0,0,0,0,0,0
59,6.780124557,Bobby Vee,Devil Or Angel,1960,717957,1614,35092,55,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
12,19.39725958,Bobby Vee,Take Good Care Of My Baby,1961,8915018,1614,35092,55,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
89,5.168953147,Bobby Vee,Rubber Ball,1961,1688587,1614,35092,55,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
78,5.63920084,Bobby Vee,The Night Has a Thousand Eyes,1963,2254109,1614,35092,55,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
60,6.705330284,The Four Preps,Down By The Station,1960,23715,951,1433,24,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
98,4.850547815,The Four Preps,More Money For You And Me,1961,7549,951,1433,24,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
61,6.632577127,The Little Dippers,Forever,1960,40043,193,38,12,0,easyListening,0,0,1,0,0,0,0,0,0,0,0,0,0
62,6.561777272,The Safaris,Image Of A Girl,1960,83982,125,242,14,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
63,6.49284802,Brook Benton,Kiddio,1960,213883,708,12824,49,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
25,11.94977132,Brook Benton,The Boll Weevil Song,1961,48225,708,12824,49,0,instrumental,0,0,0,0,1,0,0,0,0,0,0,0,0
78,5.63920084,Brook Benton,Think Twice,1961,62191,708,12824,49,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
