Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Prediction,Error,Grammy,GenreRaw,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
5.0,2.193838623,The Rascals,People Got To Be Free,1.209867168,13.30570441,0.062910207,-0.059120953,-0.147945751,15.69755577,-2.391851359,0.0,"rhythm and blues, soul",r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14.0,1.0796580690000002,Marvin Gaye,Too Busy Thinking About My Baby,1.557254771,15.01376484,1.224633659,1.600818921,1.430213392,17.41777114,-2.404006302,0.0,"soul, pop rock",r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54.0,-0.381136156,Lou Christie,Two Faces Have I,-0.527070846,9.74981176,-0.07127513099999999,-0.442457635,-0.726604103,12.158647300000002,-2.408835537,0.0,soul blues,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.8695563040000001,Chubby Checker,Slow Twistin',-0.8744584479999999,12.55703581,-0.023749976000000003,0.317261179,0.27289668699999997,14.98597844,-2.428942633,0.0,"rhythm and blues, rock and roll, soul",r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25.0,0.452219928,Brook Benton,The Boll Weevil Song,-1.221846051,10.78363284,-0.9696276690000001,-0.230522421,-0.095340446,13.21267964,-2.4290467980000003,0.0,novelty song,instrumental,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,-0.23089727699999998,The Orlons,South Street,-0.527070846,10.498111900000001,-0.786575061,-0.7994949029999999,-1.042235931,12.93690253,-2.438790629,0.0,,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39.0,-0.02898729,The Essex,Easier Said Than Done,-0.527070846,9.314790473,-1.263616171,-0.78807933,-1.200051846,11.76524624,-2.450455769,0.0,folk rock,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1.829732414,Chubby Checker,Pony Time,-1.221846051,12.88684102,-0.023749976000000003,0.317261179,0.27289668699999997,15.35024207,-2.463401048,0.0,,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70.0,-0.661960627,The Animals,Sky Pilot,1.209867168,13.37278585,0.605384602,1.144448552,1.0619762590000001,15.86439018,-2.491604324,0.0,rock,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90.0,-0.933915142,Booker T. and The M.G.'s,Hang 'Em High,1.557254771,12.53529725,0.548341222,0.37915245799999997,0.43071260200000006,15.08948977,-2.5541925180000002,0.0,soul,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66.0,-0.5982876420000001,Sam Cooke,Shake,0.16770436,13.31798937,0.372909256,1.155667928,1.2197921729999999,15.87566796,-2.5576785909999997,0.0,,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
79.0,-0.792846898,Sammy Davis Jr.,The Shelter of Your Arms,-0.17968324300000002,11.80133227,0.693622252,0.618996613,0.325501992,14.36513601,-2.563803731,0.0,"garage rock, hard rock, proto-punk",jazz,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,-1.0370530070000001,Jerry Butler,"Hey, Western Union Man",1.209867168,11.62489609,-0.657985553,0.061348071,-0.200551055,14.19335819,-2.568462105,0.0,pop rock,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38.0,-0.000878475,Tommy Roe,Everybody,-0.527070846,9.983222521,-0.9655997340000001,-0.287054338,-0.41097227399999997,12.59698261,-2.613760086,0.0,"pop, rockabilly, lubbock sound",popRock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88.0,-0.909596623,Annette Funicello,O Dio Mio,-1.569233654,8.603370887999999,0.21254669199999998,-0.9509854640000001,-1.094841236,11.24906088,-2.645689992,0.0,,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,-0.945872485,The Dave Clark Five,Do You Love Me,-0.17968324300000002,8.678631537000001,-0.023749976000000003,-0.09269543400000001,-1.094841236,11.32811814,-2.649486605,0.0,beat,beat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
