,Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Year_awards,Awards,Artist_award,awardscore
812,3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1880,1967,"Best Vocal Performance, Female",Bobbie Gentry,1
517,11,20.54380234,Barbra Streisand,People,1964,1096736,9030,1964,"Best Vocal Performance, Female",Barbra Streisand,1
501,3,48.42838339,Louis Armstrong,"Hello, Dolly!",1964,3378654,9607,1964,"Best Vocal Performance, Male, Song Of The Year",Louis Armstrong,3
775,9,23.45308318,Simon and Garfunkel,Mrs. Robinson,1968,111152876,5561,1968,Record Of The Year,Simon And Garfunkel*,2
0,1,100,Percy Faith,"Theme From ""A Summer Place""",1960,5001152,1180,1960,Record Of The Year,Percy Faith,2
341,60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,1961,"Record Of The Year ,Song Of The Year",Henry Mancini,4
861,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,1967,"Record Of The Year, Song Of The year,Best Contemporary Group Performance (Vocal Or Instrumental),Best Contemporary Single,Best Performance By A Chorus",5th Dimension,7
1008,79,5.59198657,Joe South,Games People Play,1969,1685229,1107,1969,Song Of The Year,Joe South,2
901,12,19.39725958,O.C. Smith,Little Green Apples,1968,231486,747,1968,Song Of The Year,Bobby Russell,2
883,79,5.59198657,Keith,98.6,1967,390830,414,,,,
277,96,4.917008807,Eddie Hodges,"(Girls, Girls, Girls) Made To Love",1962,30625,688,,,,
618,3,48.42838339,The Rolling Stones,(I Can't Get No) Satisfaction,1965,120360439,13638,,,,
235,43,8.35431448,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381,553,,,,
578,64,6.425711417,The Reflections,(Just Like) Romeo and Juliet,1964,182525,623,,,,
26,71,6.000251993,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517,19509,,,,
825,46,7.990608098,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,1968,1999561,4631,,,,
347,63,6.49284802,Gene Pitney,(The Man Who Shot) Liberty Valance,1962,782084,2010,,,,
546,42,8.485070759,Dionne Warwick,(Theme From) Valley Of The Dolls,1968,552598,7251,,,,
870,65,6.360293906,Blue Magoos,(We Ain't Got) Nothin' Yet,1967,637843,846,,,,
601,85,5.328236693,Nancy Wilson,(You Don't Know) How Glad I Am,1964,857873,8448,,,,
952,77,5.687430745,Vanilla Fudge,(You Keep Me) Hangin' On,1968,1561590,1607,,,,
107,53,7.277428145,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967,47272819,4542,,,,
629,3,48.42838339,The Righteous Brothers,(You're My) Soul and Inspiration,1966,2009018,2690,,,,
30,69,6.114481004,Elvis Presley,(You're the) Devil in Disguise,1963,16593049,19509,,,,
924,48,7.769280177,1910 Fruitgum Company,"1, 2, 3, Red Light",1968,188396,578,,,,
621,62,6.561777272,The Rolling Stones,19th Nervous Breakdown,1966,5316930,13638,,,,
476,99,4.818155049,Bobby Bare,500 Miles,1963,2379488,1533,,,,
797,100,4.786300923,Wilson Pickett,634-5789,1966,973614,3001,,,,
718,5,34.56844127,? and the Mysterians,96 Tears,1966,3040043,1979,,,,
894,35,9.570069478,The Rascals,A Beautiful Morning,1968,2144939,2093,,,,
132,96,4.917008807,Andy Williams,A Fool Never Learns,1964,137312,3980,,,,
757,34,9.754924552,The Mindbenders,A Groovy Kind of Love,1966,1144597,978,,,,
217,26,11.64441273,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,213849,909,,,,
721,60,6.705330284,The Monkees,"A Little Bit You, A Little Bit Me",1967,1867724,18620,,,,
327,46,7.990608098,Burl Ives,A Little Bitty Tear,1962,300810,2470,,,,
129,55,7.101672245,Jimmy Charles,A Million To One,1960,57306,334,,,,
88,75,5.787081068,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,881349,1481,,,,
565,50,7.562750921,Chad and Jeremy,A Summer Song,1964,2344444,1030,,,,
363,83,5.412631479,Billy Vaughn,A Swingin' Safari,1962,390073,715,,,,
676,47,7.877989793,Horst Jankowski,A Walk in the Black Forest,1965,266055,493,,,,
851,38,9.064478563,Procol Harum,A Whiter Shade Of Pale,1967,19406809,2788,,,,
532,30,10.59497587,Peter and Gordon,A World Without Love,1964,2782696,951,,,,
345,61,6.632577127,Ray Stevens,Ahab The Arab,1962,194946,2640,,,,
844,87,5.247075258,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough,1967,201057355,581,,,,
583,48,7.769280177,The Temptations,Ain't Too Proud to Beg,1966,26620715,9519,,,,
329,48,7.769280177,Emilio Pericoli,Al Di La,1962,58051,208,,,,
593,62,6.561777272,The Kinks,All Day and All of the Night,1965,46065659,9987,,,,
705,90,5.130975533,Cher,All I Really Want to Do,1965,764751,12651,,,,
493,30,10.59497587,The Beatles,All You Need Is Love,1967,37228030,14112,,,,
61,16,16.04282372,Hollywood Argyles,Alley Oop,1960,218008,564,,,,
46,73,5.891242669,Connie Francis,Among My Souvenirs,1960,1725415,4607,,,,
270,76,5.736711756,Rosie and The Originals,Angel Baby,1961,3204938,827,,,,
917,28,11.08857401,Merrilee Rush,Angel Of The Morning,1968,719339,916,,,,
95,88,5.207645782,Sam Cooke,Another Saturday Night,1963,5407127,2895,,,,
543,71,6.000251993,Dionne Warwick,Anyone Who Had a Heart,1964,1556585,7251,,,,
228,35,9.570069478,Jorgen Ingmann,Apache,1961,148229,524,,,,
836,21,13.40711287,Jay and The Techniques,"Apples, Peaches, Pumpkin Pie",1967,280359,346,,,,
863,2,63.2878297,The 5th Dimension,Aquarius / Let The Sunshine In,1969,11308691,2394,,,,
27,96,4.917008807,Elvis Presley,Are You Lonesome Tonight?,1961,11573507,19509,,,,
236,44,8.228510611,Kokomo,Asia Minor,1961,38898,751,,,,
752,53,7.277428145,Donovan,Atlantis,1969,2640311,6108,,,,
260,39,8.910403258,Carla Thomas,B-A-B-Y,1966,9284829,1161,,,,
87,27,11.35794904,Dinah Washington and Brook Benton,Baby (You've Got What It Takes),1960,5561544,1481,,,,
264,66,6.296526022,The Echoes,Baby Blue,1961,29769,2474,,,,
646,72,5.945119004,Sonny and Cher,Baby Don't Go,1965,759198,2377,,,,
823,59,6.780124557,Aretha Franklin,Baby I Love You,1967,5884570,4631,,,,
557,95,4.951108236,Johnny Rivers,Baby I Need Your Lovin',1967,168107,1516,,,,
570,57,6.936215781,The Four Tops,Baby I Need Your Loving,1964,5096779,3598,,,,
1015,92,5.057082445,The Originals,Baby I'm For Real,1969,2063514,4253,,,,
440,38,9.064478563,Barbara Lewis,Baby I'm Yours,1965,1960486,703,,,,
204,44,8.228510611,The Shirelles,Baby It's You,1962,1378449,2186,,,,
986,34,9.754924552,Smith,Baby It's You,1969,2775811,465,,,,
507,33,9.949031357,The Supremes,Baby Love,1964,44450809,5042,,,,
