,Rank,RankPowerlaw,Artist_x,Title,Year_x,SpotifyPlayCount,WikiWordCount,GrammyAwards,Year_y,Awards,Artist_y
789,71,6.000251993,Ray Conniff Singers,Somewhere My Love (Lara's Theme From Dr. Zhivago),1966,750017,1780,,1966,Best Performance By A Chorus,Ray Conniff
865,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,,1967,Best Performance By A Chorus,5th Dimension
236,42,8.485070759,Troy Shondell,This Time By Basie! Hits Of The 50's And 60's,1961,28820,793,,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Count Basie
521,12,19.39725958,Al Hirt,Java,1964,362090,961,,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Al Hirt
324,21,13.40711287,The Isley Brothers,It's Your Thing,1969,28175220,2160,,1969,Best R&B Vocal Performance By A Duo Or Group,Isley Brothers
1012,75,5.787081068,Joe Simon,The Chokin' Kind,1969,390349,2638,,1969,"Best R&B Vocal Performance, Male",Joe Simon
173,65,6.360293906,Ricky Nelson,Bernstein Conducts For Young People,1964,91338,4885,,1963,Best Recording For Children,Leonard Bernstein
840,19,14.32262507,Sam and Dave,Soul Man,1967,29327767,4812,,1967,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Sam And Dave
65,4,40.05349388,Roy Orbison,Crying Time,1961,10605581,8654,,1966,Best Rhythm & Blues Recording,Ray Charles
159,19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,,1961,Best Rhythm & Blues Recording,Ray Charles
607,85,5.328236693,Nancy Wilson,How Glad I Am,1964,857873,8448,,1964,Best Rhythm & Blues Recording,Nancy Wilson
674,33,9.949031357,James Brown,Papa's Got A Brand New Bag,1965,22403335,12563,,1965,Best Rhythm & Blues Recording,James Brown
827,13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,,1967,Best Rhythm & Blues Recording,Aretha Franklin
828,13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,,1967,"Best Rhythm & Blues Solo Vocal Performance, Female",Aretha Franklin
66,4,40.05349388,Roy Orbison,Crying Time,1961,10605581,8654,,1966,"Best Rhythm & Blues Solo Vocal Performance, Male Or Female",Ray Charles
360,74,5.838577711,Dickey Lee,Patches,1962,22266,457,,1970,Best Rhythm & Blues Song,General Johnson
898,4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,,1968,Best Rhythm & Blues Song,Otis Redding
1005,65,6.360293906,The Winstons,Color Him Father,1969,131309,260,,1969,Best Rhythm & Blues Song,Richard Spencer
897,4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,,1968,"Best Rhythm & Blues Vocal Performance, Male",Otis Redding
40,94,4.985808764,Chubby Checker,Let's Twist Again,1961,13359395,1911,,1961,Best Rock & Roll Recording,Chubby Checker
322,37,9.225435188,Bent Fabric,Alley Cat,1962,145527,630,,1962,Best Rock & Roll Recording,Bent Fabric
415,19,14.32262507,Nino Tempo and April Stevens,Deep Purple,1963,297983,554,,1963,Best Rock & Roll Recording,April Stevens
636,6,30.6492728,Petula Clark,Downtown,1965,7403339,4478,,1964,Best Rock & Roll Recording,Petula Clark
1023,93,5.021127552,Edwin Hawkins Singers,Oh Happy Day,1969,4019864,785,,1969,Best Soul Gospel Performance,Edwin Hawkins Singers
519,11,20.54380234,Barbra Streisand,People,1964,1096736,9030,,1964,"Best Vocal Performance, Female",Barbra Streisand
818,3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1880,,1967,"Best Vocal Performance, Female",Bobbie Gentry
106,34,9.754924552,Jackie Wilson,Strangers In The Night,1960,81660,4542,,1966,"Best Vocal Performance, Male",Frank Sinatra
503,3,48.42838339,Louis Armstrong,"Hello, Dolly!",1964,3378654,9607,,1964,"Best Vocal Performance, Male",Louis Armstrong
0,1,100,Percy Faith,The Theme From A Summer Place,1960,5001152,1180,,1960,Record Of The Year,Percy Faith
105,34,9.754924552,Jackie Wilson,Strangers In The Night,1960,81660,4542,,1966,Record Of The Year,Frank Sinatra
343,60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,,1961,Record Of The Year,Henry Mancini
781,9,23.45308318,Simon and Garfunkel,Mrs. Robinson,1968,111152876,5561,,1968,Record Of The Year,Simon And Garfunkel*
862,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,,1967,Record Of The Year,5th Dimension
132,17,15.41358678,Ferrante and Teicher,Theme From Exodus,1961,338866,1231,,1960,Song Of The Year,Ernest Gold
344,60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,,1961,Song Of The Year,Henry Mancini
502,3,48.42838339,Louis Armstrong,"Hello, Dolly!",1964,3378654,9607,,1964,Song Of The Year,Jerry Herman
863,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,,1967,Song Of The Year,Jimmy L. Webb
908,12,19.39725958,O.C. Smith,Little Green Apples,1968,231486,747,,1968,Song Of The Year,Bobby Russell
1,2,63.2878297,Jim Reeves,He'll Have To Go,1960,4377343,4240,,,,
2,3,48.42838339,The Everly Brothers,Cathy's Clown,1960,4180758,4114,,,,
4,70,6.056689273,The Everly Brothers,So Sad,1960,804269,4114,,,,
5,91,5.093692001,The Everly Brothers,When Will I Be Loved,1960,508098,4114,,,,
6,57,6.936215781,The Everly Brothers,Walk Right Back,1961,2192314,4114,,,,
7,47,7.877989793,The Everly Brothers,Crying In The Rain,1962,3014478,4114,,,,
8,4,40.05349388,Johnny Preston,Running Bear,1960,1444980,444,,,,
9,45,8.107365283,Johnny Preston,Cradle Of Love,1960,232921,444,,,,
10,5,34.56844127,Mark Dinning,Teen Angel,1960,436274,303,,,,
11,6,30.6492728,Brenda Lee,I'm Sorry,1960,3366175,2547,,,,
12,18,14.84294734,Brenda Lee,Sweet Nothin's,1960,4478743,2547,,,,
13,43,8.35431448,Brenda Lee,I Want To Be Wanted,1960,390100,2547,,,,
14,71,6.000251993,Brenda Lee,That's All You Gotta Do,1960,395052,2547,,,,
15,91,5.093692001,Brenda Lee,Dum Dum,1961,320128,2547,,,,
16,93,5.021127552,Brenda Lee,You Can Depend On Me,1961,165193,2547,,,,
17,26,11.64441273,Brenda Lee,Break It To Me Gently,1962,1564747,2547,,,,
18,73,5.891242669,Brenda Lee,Everybody Loves Me But You,1962,205080,2547,,,,
19,62,6.561777272,Brenda Lee,Losing You,1963,306511,2547,,,,
20,79,5.59198657,Brenda Lee,Too Many Rivers,1965,163530,2547,,,,
21,70,6.056689273,Brenda Lee,Coming On Strong,1966,69312,2547,,,,
22,7,27.68441135,Elvis Presley,It's Now Or Never,1960,11766868,19509,,,,
23,9,23.45308318,Elvis Presley,Stuck On You,1960,6695034,19509,,,,
24,39,8.910403258,Elvis Presley,Little Sister,1961,3356388,19509,,,,
25,51,7.4645509,Elvis Presley,Surrender,1961,4599587,19509,,,,
26,71,6.000251993,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517,19509,,,,
27,96,4.917008807,Elvis Presley,Are You Lonesome Tonight?,1961,11573507,19509,,,,
28,20,13.84586851,Elvis Presley,Good Luck Charm,1962,5263250,19509,,,,
